음식점ID,인허가일자,소재지면적,음식점명
3190000-101-1972-05412,1972-04-14,321.03,안동장
3190000-101-1975-02423,1975-05-15,71.41,바다회센타
3190000-101-1975-05441,1975-06-17,91.84,신부양각
3190000-101-1976-03920,1976-02-16,25.5,순대나라
3190000-101-1977-02431,1977-09-08,43.98,우슬재
3190000-101-1977-06648,1977-05-13,31.06,정은식당
3190000-101-1979-00106,1979-07-03,34.63,비어 퀸
3190000-101-1979-05107,1979-04-12,58.93,계림원 노량진점
3190000-101-1980-00104,1980-09-10,27.7,소문난만천곱창
3190000-101-1980-00134,1980-10-23,27.12,이수찹쌀순대
3190000-101-1980-05440,1980-05-07,60.0,다래원
3190000-101-1980-06769,1980-07-16,94.82,거구장
3190000-101-1980-06788,1980-11-05,83.0,계림(鷄林)닭한마리
3190000-101-1981-02393,1981-09-07,20.5,진미순대
3190000-101-1981-06639,1981-08-28,146.88,등나무집
3190000-101-1981-06649,1981-10-06,24.7,교뽕
3190000-101-1982-00108,1982-05-26,26.65,해달비
3190000-101-1982-00336,1982-10-12,72.6,교촌치킨
3190000-101-1982-00720,1982-03-03,149.49,한일정
3190000-101-1982-06619,1982-06-10,59.6,청진동해장국
3190000-101-1982-06663,1982-04-20,31.3,미주
3190000-101-1983-00074,1983-06-29,30.1,돈낭군 찌개부인
3190000-101-1983-00571,1983-04-13,83.0,전주한방오리
3190000-101-1983-02448,1983-07-08,36.58,이모네 실내포차
3190000-101-1983-03770,1983-09-30,20.25,흑석동 명당김밥
3190000-101-1983-04185,1993-10-15,146.0,"왕돈까스, 왕냉면"
3190000-101-1983-05065,1983-11-28,24.0,김밥을주문해
3190000-101-1983-06690,1983-12-26,17.7,초신성막창가
3190000-101-1984-00057,1984-08-27,19.9,토방소곱창
3190000-101-1984-00476,1984-10-31,51.32,강릉식당
3190000-101-1984-00500,1984-09-26,28.9,사과나무
3190000-101-1984-00512,1984-11-30,31.3,왕돈가스왕냉면
3190000-101-1984-03580,1984-11-08,27.12,도리도리하찌
3190000-101-1984-03591,1984-03-09,97.33,다래식당
3190000-101-1984-03674,1984-07-25,18.74,해피손칼국수
3190000-101-1984-05073,1984-05-03,19.6,사당쭈꾸미
3190000-101-1984-05466,1984-03-27,43.09,원조강릉교동반점
3190000-101-1984-06811,1984-06-23,101.6,마포집
3190000-101-1985-00185,1985-11-06,29.81,순천식당
3190000-101-1985-00269,1985-04-09,75.0,신짱스시
3190000-101-1985-00549,1994-01-21,165.3,한울갈비
3190000-101-1985-03551,1985-03-22,53.9,성상등갈비
3190000-101-1985-03722,1985-12-28,66.0,귀한족발 사당점
3190000-101-1985-04409,1985-05-29,370.22,수산회관
3190000-101-1985-04998,1985-09-26,59.92,잠꾸러기
3190000-101-1985-05218,1985-09-27,133.7,큐피드
3190000-101-1985-05427,1985-02-09,28.12,연경
3190000-101-1986-00052,1986-11-04,44.17,꿀꾸랄라
3190000-101-1986-00375,1986-10-15,37.29,청운꼬들살
3190000-101-1986-02425,1986-05-29,39.44,향백
3190000-101-1986-03718,1986-07-28,26.25,처갓집양념치킨 장승배기점
3190000-101-1986-03773,1986-04-10,66.13,성림식당
3190000-101-1986-03955,1986-05-12,67.64,고기굽는방앗간 이수역점
