음식점ID,인허가일자,소재지면적,음식점명
3240000-101-1899-02745,2001-10-09,81.17,아마렐로
3240000-101-1979-02695,1979-05-09,87.45,해안반점
3240000-101-1980-08961,1980-07-09,95.7,천호등심
3240000-101-1980-09137,1980-10-16,18.88,소문난집
3240000-101-1981-00613,1981-04-21,19.25,부어치킨
3240000-101-1981-02573,1981-11-23,52.29,해남식당
3240000-101-1981-02652,1981-07-15,39.6,고향집홍어
3240000-101-1981-02671,1981-10-10,21.03,사나포차
3240000-101-1981-02755,1981-07-23,70.43,60년 전통 신촌 황소곱창
3240000-101-1981-03033,1981-03-11,79.0,남원골추어탕
3240000-101-1981-03054,1981-05-14,26.52,텐퍼센트 커피 천호역점
3240000-101-1982-00721,1982-11-26,48.56,대성원
3240000-101-1982-02008,1982-10-13,110.0,한성관
3240000-101-1982-02273,1982-09-27,40.0,온도계
3240000-101-1982-08085,1982-03-17,59.83,1990 아구찜 천호점
3240000-101-1982-11501,1982-07-19,58.4,초롱이고모부대찌개
3240000-101-1983-00630,1983-07-22,22.78,용천각
3240000-101-1983-00738,1983-10-24,62.0,큰손밥집
3240000-101-1983-02046,1983-03-07,36.24,30년전통설렁탕
3240000-101-1983-02163,1983-12-14,32.7,해물촌
3240000-101-1983-02523,1983-06-14,35.82,친구야
3240000-101-1983-02717,1983-04-18,58.47,60계치킨 천호역점
3240000-101-1983-02813,1983-10-14,37.18,강셰프 경양식
3240000-101-1983-02903,1983-12-19,89.78,신라삼계탕
3240000-101-1983-03032,1983-07-28,116.34,성내식당
3240000-101-1983-08229,1983-12-05,42.0,파파존스피자 강동구청점
3240000-101-1983-09536,1983-12-21,18.04,진미분식
3240000-101-1984-00141,1984-08-28,153.66,육쌈냉면 천호점
3240000-101-1984-02258,1984-05-01,45.52,고래삼계탕전문
3240000-101-1984-02777,1984-06-05,118.45,부산아지매국밥&구포갈비 명일역점
3240000-101-1984-02814,1984-12-17,32.76,두레통닭
3240000-101-1984-02904,1984-04-23,92.36,멧돌순두부 보쌈
3240000-101-1984-08310,1984-10-15,127.2,스카이마늘치킨
3240000-101-1984-10412,1984-03-27,19.91,투다리길2점
