음식점ID,인허가일자,소재지면적,음식점명
3220000-101-1911-16480,1911-05-28,90.75,골목식당
3220000-101-1976-17313,1976-07-24,39.26,용삼계탕
3220000-101-1976-17996,1976-12-23,50.24,원해분식
3220000-101-1978-12840,1978-10-06,39.54,취화선
3220000-101-1978-16489,1978-10-17,49.24,삼성식당
3220000-101-1978-17321,1978-06-10,67.75,향촌면옥
3220000-101-1978-17610,1978-12-15,34.7,미스터피자 대치점
3220000-101-1979-12835,1979-08-18,187.15,송원
3220000-101-1979-12868,1979-09-04,130.25,베이징
3220000-101-1980-04513,1980-12-23,20.0,삼해정
3220000-101-1980-13015,1980-08-13,48.18,고향집
3220000-101-1981-00057,1981-11-06,2594.15,삼원가든
3220000-101-1981-05967,1981-12-05,27.0,마미치킨
3220000-101-1981-05970,1981-03-31,27.84,애주의집
3220000-101-1981-06770,1981-06-11,103.59,마산옥
3220000-101-1981-10640,1981-05-26,213.71,벨버드
3220000-101-1981-12915,1981-01-29,28.8,역삼농원 닭도리
3220000-101-1981-15933,1981-07-31,45.37,일미쌈밥
3220000-101-1981-17598,1981-07-03,52.56,짱이네
3220000-101-1981-17972,1981-05-22,52.07,신흥식당
3220000-101-1981-20028,1981-08-11,111.95,현대이모네2
3220000-101-1982-04486,1982-09-14,24.74,이동분식쎈타
3220000-101-1982-04514,1982-03-29,30.55,진선미
3220000-101-1982-05966,1982-09-03,57.8,광장
3220000-101-1982-06637,1982-11-16,22.08,삼일분식
3220000-101-1982-06998,1982-11-10,32.54,정육점식당
3220000-101-1982-07012,1982-09-04,25.26,페리카나
3220000-101-1982-11747,1982-08-21,100.06,목련식당
3220000-101-1982-15908,1982-07-26,45.57,우츠와
3220000-101-1982-15910,1982-11-09,215.0,삼환
3220000-101-1982-15945,1982-09-04,23.94,봉림장
3220000-101-1982-15946,1982-11-05,25.04,남주식당
3220000-101-1982-15947,1982-11-05,27.03,해품달
3220000-101-1982-17109,1982-05-19,30.4,빽다방(논현영동시장점)
3220000-101-1982-17303,1982-03-03,43.1,인생카츠
3220000-101-1982-17937,1982-04-21,144.0,60년전통 신촌황소곱창(논현점)
3220000-101-1982-17974,1982-10-16,66.59,삼미
3220000-101-1982-20431,1982-01-22,37.38,맛나 행복한밥상
3220000-101-1983-05744,1983-10-17,20.16,사랑의집
3220000-101-1983-05940,1983-07-15,57.74,미소야
3220000-101-1983-11018,1983-12-27,41.34,트리아관광호텔
3220000-101-1983-12024,1983-04-19,93.64,브라운팟 더블랙
3220000-101-1983-13028,1983-09-16,448.79,대려도
3220000-101-1983-15620,1983-04-19,106.52,사리원
3220000-101-1983-17538,1983-06-24,22.11,양구식당
3220000-101-1983-18173,1983-12-20,87.17,응그레
3220000-101-1983-22523,1983-12-23,77.35,고래똥
3220000-101-1984-05937,1984-04-07,35.55,금강족발전문점
3220000-101-1984-05946,1984-02-20,7.43,미도분식
3220000-101-1984-05949,1984-03-16,29.64,장터국수
3220000-101-1984-06751,1984-11-01,31.68,홍반장신의주찹쌀순대
3220000-101-1984-11717,1984-12-30,184.04,알집모닝메이트
3220000-101-1984-11719,1984-12-27,49.6,태임
3220000-101-1984-12282,1984-06-13,73.4,카스앤락
3220000-101-1984-12814,1984-03-08,201.3,일품향
3220000-101-1984-12819,1984-06-19,49.5,남경반점
3220000-101-1984-13019,1984-11-12,78.72,시골밥상신사점
3220000-101-1984-15003,1984-05-31,58.5,내림손 삼계탕
3220000-101-1984-15260,1984-07-19,40.5,원조식당
3220000-101-1984-15873,1984-09-19,155.81,주식회사곰바우
3220000-101-1984-15901,1984-06-15,81.4,상아
3220000-101-1984-16459,1984-10-22,35.52,황금정
3220000-101-1984-16573,1984-05-04,96.39,파파호
3220000-101-1984-16854,1984-07-09,1729.1,한우리외식산업(주)
3220000-101-1984-17543,1984-05-04,46.2,레호이
3220000-101-1984-17724,1984-03-16,124.69,한강수 정육식당
3220000-101-1984-17884,1984-11-16,18.27,길손
3220000-101-1984-18166,1984-11-28,184.28,정상
3220000-101-1984-20868,1984-05-07,115.66,삼도
3220000-101-1984-22234,1984-12-05,26.13,아라도
3220000-101-1985-05916,1985-12-03,60.84,필
3220000-101-1985-06074,1985-03-18,31.08,부산오뎅
3220000-101-1985-06340,1985-04-19,21.49,옛날순대국
3220000-101-1985-06450,1985-05-16,119.54,한성국수
3220000-101-1985-06643,1985-08-12,52.2,캘리포니아뜰
3220000-101-1985-06756,1985-07-11,41.5,태공치킨
3220000-101-1985-07623,1985-08-28,226.24,삼정한식당
3220000-101-1985-07673,1985-10-29,30.68,청국장전문점
3220000-101-1985-07750,1985-12-14,340.5,이즈미
3220000-101-1985-10598,1985-10-12,75.62,수락정김밥
3220000-101-1985-11975,1985-04-30,23.04,방추
3220000-101-1985-12846,1985-05-16,35.12,맘스맘 김밥
3220000-101-1985-12953,1985-04-09,62.95,자금성
3220000-101-1985-15334,1985-03-18,96.0,청솔관
3220000-101-1985-15337,1985-08-27,102.88,해남세발낙지
3220000-101-1985-15586,1985-02-05,250.32,미락전복
3220000-101-1985-16348,1985-12-24,202.92,나의가야
3220000-101-1985-17247,1985-10-18,109.62,베이징덕
3220000-101-1985-17423,1985-12-27,95.87,솜리
3220000-101-1985-17501,1985-10-08,92.03,현대낙지집
3220000-101-1985-17521,1985-02-06,311.74,축복회관
3220000-101-1985-17928,1985-11-18,708.0,남포면옥
3220000-101-1985-22430,1985-12-14,312.76,도원스타일 압구정점
3220000-101-1986-04685,1986-07-21,59.5,비어시티
3220000-101-1986-05886,1986-03-25,35.4,총회회관구내
3220000-101-1986-07814,1986-04-09,97.75,청목
3220000-101-1986-07823,1986-09-23,376.61,차슈밍
3220000-101-1986-11268,1986-06-09,62.87,청송숯불화로구이
3220000-101-1986-11276,1986-09-19,35.92,포트캔커피 강남구청점(PORT CAN COFFEE)
3220000-101-1986-11282,1986-01-08,41.86,예원
3220000-101-1986-11903,1986-12-31,62.49,목로
3220000-101-1986-11924,1986-11-05,47.88,북경반점
3220000-101-1986-12125,1986-05-13,28.5,올레김밥
3220000-101-1986-12131,1986-05-01,37.4,강진횟집
3220000-101-1986-12263,1986-12-15,168.42,티보리
3220000-101-1986-15234,1986-06-21,31.79,개포골
3220000-101-1986-15556,1986-09-25,26.52,예자네 밥상
3220000-101-1986-15583,1986-03-08,35.49,고향집
3220000-101-1986-15607,1986-03-24,39.3,광주식당
3220000-101-1986-15866,1986-11-19,53.67,박서방순대국밥
3220000-101-1986-15870,1986-02-24,110.0,수궁갈비집
3220000-101-1986-16383,1986-10-07,20.13,테헤란식당
3220000-101-1986-16388,1986-11-04,206.49,사랑방
3220000-101-1986-16424,1986-03-10,1218.34,(주)신정
3220000-101-1986-16616,1986-12-09,29.25,88선수촌
3220000-101-1986-16806,1986-10-10,72.6,별미식당
3220000-101-1986-17061,1986-05-21,124.84,남서울민물장어
3220000-101-1986-17673,1986-12-08,65.12,황토 감자탕
3220000-101-1986-17787,1986-08-08,40.08,은마골
3220000-101-1986-17998,1986-04-12,152.18,청담순두부두부공방
3220000-101-1986-18382,1986-03-07,100.32,푸세울 닭
3220000-101-1986-19340,1986-07-18,107.83,김참치
3220000-101-1986-20073,1986-09-24,148.5,일편등심
3220000-101-1986-20387,1986-06-19,82.59,마인드
3220000-101-1986-20916,1986-05-06,54.52,비와별닭갈비 논현점
3220000-101-1987-00341,1987-12-07,173.0,신양
3220000-101-1987-06253,1987-09-24,36.66,한솥
3220000-101-1987-06614,1987-10-20,27.93,후랜드
3220000-101-1987-06654,1987-09-26,15.59,뉴만두집
3220000-101-1987-06910,1987-08-01,55.8,두시치킨
3220000-101-1987-06947,1987-12-11,48.53,맹그르브 삼겹살
3220000-101-1987-07219,1987-12-07,489.05,와인앤다인
