음식점ID,인허가일자,소재지면적,음식점명
3150000-101-1976-01512,1976-07-22,27.83,코비
3150000-101-1976-04181,1976-08-09,33.5,중국관
3150000-101-1976-04186,1976-01-23,140.08,공항뚝배기
3150000-101-1976-05633,1976-02-12,47.85,토라야
3150000-101-1976-05729,1976-07-30,15.64,선영이네
3150000-101-1978-04256,1978-04-13,57.1,돈오야
3150000-101-1978-08638,1978-11-13,56.5,심원생고기
3150000-101-1979-01535,1979-11-19,39.34,59피자
3150000-101-1979-05418,1979-05-14,96.43,외갓집
3150000-101-1979-08056,1979-06-18,22.0,엄지족
3150000-101-1980-04175,1980-05-02,33.0,대성각
3150000-101-1980-05497,1980-04-08,89.48,육대장(공항점)
3150000-101-1980-05853,1980-09-05,80.58,피기피기
3150000-101-1981-05498,1981-05-30,52.31,궁중추어탕
3150000-101-1981-05858,1981-10-30,87.92,동글식당
3150000-101-1981-05888,1981-09-16,30.0,실비집
3150000-101-1982-05571,1982-10-28,55.33,교촌치킨화곡2호점
3150000-101-1982-05788,1982-11-16,20.12,한라산도야지
3150000-101-1982-06603,1982-06-23,26.18,전주교동집
3150000-101-1983-02934,1983-10-15,47.89,동글갈비
3150000-101-1983-04148,1983-12-12,35.14,우리집밥상
3150000-101-1983-06229,1983-12-27,614.69,낙원(樂源)
3150000-101-1983-07720,1983-09-08,115.5,자금성
3150000-101-1983-08303,1983-06-16,30.71,서울통닭집
3150000-101-1983-08481,1983-12-01,86.81,어쩌라고
3150000-101-1984-02713,1984-07-07,21.05,다보분식
3150000-101-1984-02768,1984-12-21,32.5,사돈분식
3150000-101-1984-02878,1984-04-13,84.0,개화산맛집
3150000-101-1984-03021,1984-08-14,20.5,강서손칼국수
3150000-101-1984-04219,1984-07-18,71.05,동보성
3150000-101-1984-05390,1984-04-23,26.13,귀한보쌈?바지락칼국수 화곡점
3150000-101-1984-05611,1984-06-07,24.7,고기야놀자
3150000-101-1984-05617,1984-03-31,26.27,충북식당
3150000-101-1984-05867,1984-04-13,26.13,마당쇠 참나무 한방 숯불 바베큐
3150000-101-1984-05900,1984-12-17,50.66,고바우식당
3150000-101-1984-06419,1984-12-10,39.88,지랄닭발
3150000-101-1984-08662,1984-02-10,72.03,골목집
3150000-101-1984-08664,1984-04-13,,한우곱창
3150000-101-1985-03280,1985-05-04,22.8,원조김밥
3150000-101-1985-04155,1985-04-06,91.13,엉터리식당
3150000-101-1985-05393,1985-10-14,23.97,초원분식
3150000-101-1985-06117,1985-06-18,59.13,순희네빈대떡우장산역점
3150000-101-1985-06135,1985-11-30,64.94,춘천숯불갈비
3150000-101-1985-06223,1985-10-18,117.27,임진강민물장어
3150000-101-1985-07851,1985-03-02,114.78,까치숯불구이
3150000-101-1985-08444,1985-11-01,27.05,강서식당
3150000-101-1986-02648,1986-12-20,28.12,사거리홍어
3150000-101-1986-02775,1986-08-27,46.93,삼부숯불구이
3150000-101-1986-02849,1986-10-18,136.11,등촌식당
3150000-101-1986-02995,1986-02-28,104.58,돌담족발
3150000-101-1986-05502,1986-03-07,19.25,남해집
3150000-101-1986-06472,1986-10-20,46.02,깡우동(화곡역점)
3150000-101-1986-06545,1986-08-21,46.48,속초털보회냉면
3150000-101-1987-02657,1987-06-25,20.04,한방오리농장
3150000-101-1987-03557,1987-11-30,68.75,서궁일식
3150000-101-1987-03838,1987-07-31,107.33,킹
3150000-101-1987-03868,1987-10-29,22.05,예스
3150000-101-1987-04177,1987-09-03,25.12,도화루
3150000-101-1987-04227,1987-03-31,36.9,진성관
3150000-101-1987-05420,1987-11-04,43.71,춘천중앙로숯불닭갈비
3150000-101-1987-05557,1987-08-24,62.4,황소 곱창
3150000-101-1987-05692,1987-09-18,48.31,마포무대포주먹고기
3150000-101-1987-05857,1987-03-16,59.82,달빛 오징어 광어 화곡점
3150000-101-1987-05886,1987-11-23,12.62,개성집
3150000-101-1987-08612,1987-03-29,25.36,소문난해장국집
