음식점ID,인허가일자,소재지면적,음식점명
3170000-101-1972-03948,1972-04-07,71.0,정수장
3170000-101-1976-03949,1976-09-01,55.92,다래성
3170000-101-1976-05727,1976-06-17,29.2,동원식당
3170000-101-1976-05910,1976-03-30,51.1,강한남자 장작구이
3170000-101-1977-01962,1977-12-19,4.89,서야왕족발
3170000-101-1977-04054,1977-11-16,88.2,청온반
3170000-101-1978-03490,1978-06-26,17.05,보리수
3170000-101-1979-03903,1979-03-06,57.75,함지박
3170000-101-1979-04831,1979-12-19,110.98,원조마포갈비
3170000-101-1979-05907,1979-10-29,66.47,삼익숯불갈비
3170000-101-1980-01845,1980-08-06,19.63,분이네
3170000-101-1980-03472,1980-10-27,35.9,숲속
3170000-101-1980-03473,1980-10-27,20.3,뚜리바분식
3170000-101-1980-03896,1980-08-21,20.72,조선짬뽕
3170000-101-1980-03926,1980-10-11,66.68,아성원
3170000-101-1980-05199,1980-10-29,13.15,돼지네 연탄구이
3170000-101-1980-06322,1980-10-16,22.86,홍원식당
3170000-101-1980-06323,1980-10-29,15.68,전주식당
3170000-101-1980-06324,1980-11-15,12.5,참숯주먹고기
3170000-101-1980-06328,1980-10-01,22.72,이화수육개장
3170000-101-1981-01732,1981-06-08,33.12,상아탑분식
3170000-101-1981-06038,1981-09-08,28.26,우림한식부페
3170000-101-1982-01157,1982-12-14,68.8,귀빈식당
3170000-101-1982-01247,1982-11-25,13.76,영광집
3170000-101-1982-01250,1982-11-26,19.0,목화
3170000-101-1982-01799,1982-05-20,39.6,최고당돈가스 시흥점
3170000-101-1982-01936,1982-10-15,35.64,해바라기 고깃집
3170000-101-1982-01993,1982-04-26,9.0,시흥홍어전문
3170000-101-1982-02898,1982-02-26,31.45,한신우동 가산점
3170000-101-1982-04343,1982-08-30,65.1,시흥 양육관
3170000-101-1982-04512,1982-12-21,72.0,역전할머니맥주(시흥사거리점)
3170000-101-1982-04943,1982-12-09,110.74,한옥집 숯불갈비
3170000-101-1983-01733,1983-02-07,18.5,고향식당
3170000-101-1983-01965,1983-10-26,34.98,영진민물
3170000-101-1983-02377,1983-01-13,26.32,미락가정식백반
3170000-101-1983-05244,1983-12-22,99.22,첸
3170000-101-1984-01864,1984-04-10,20.35,사계절
3170000-101-1984-02307,1984-03-28,25.84,우산속호프
3170000-101-1984-02354,1984-02-13,34.44,요우짜펑
3170000-101-1984-02628,1984-07-30,33.02,구어바베큐치킨호프
3170000-101-1984-02913,1984-08-09,113.6,중국성
3170000-101-1984-03426,1984-06-08,44.65,목원분식
3170000-101-1984-04394,1984-01-11,58.5,우리집
3170000-101-1984-04402,1984-07-11,22.55,고창풍천장어
3170000-101-1984-04845,1984-01-12,36.96,뉴월드호프광장
3170000-101-1984-04866,1984-11-10,24.48,맨발의청춘
3170000-101-1984-04968,1984-07-06,58.63,옹기뚜껑
3170000-101-1984-04989,1984-06-29,24.26,기원식당
3170000-101-1984-05029,1984-06-21,15.33,김가네
3170000-101-1984-06181,1984-12-17,153.78,입안행복 셀프식당(가산KCC점)
3170000-101-1985-01713,1985-01-31,22.4,청학동 칡냉면 전문점
3170000-101-1985-01741,1985-08-19,61.54,소쿠리
3170000-101-1985-02625,1985-09-11,19.2,타미하우스
3170000-101-1985-03387,1985-05-03,28.8,디제이생맥주
3170000-101-1985-04372,1985-05-14,30.98,계룡식당
3170000-101-1985-04711,1985-07-08,87.78,우림정
3170000-101-1985-04787,1985-10-15,13.66,들국화
3170000-101-1985-04908,1985-06-20,66.0,우리양꼬치
3170000-101-1985-05249,1985-04-30,13.0,강셰프양꼬치별관
3170000-101-1986-01122,1986-11-27,31.83,촌닭
3170000-101-1986-01643,1986-05-08,135.42,회림정
3170000-101-1986-01901,1986-02-22,22.94,옛날통닭
3170000-101-1986-02630,1986-05-30,14.52,삼은식당
3170000-101-1986-03904,1986-11-21,78.08,대웅각
3170000-101-1986-04985,1986-10-13,78.36,훌랄라독산1동점
3170000-101-1986-05013,1986-05-21,19.92,진미식당
3170000-101-1986-05251,1986-06-30,42.16,명화곱창
3170000-101-1987-01567,1987-07-18,99.48,훌랄라숯불치킨
3170000-101-1987-01819,1987-04-11,22.94,대성숯불바베큐 왕족발
3170000-101-1987-01883,1987-01-21,26.91,해뜨는분식
3170000-101-1987-02426,1987-12-10,37.4,토크쇼
3170000-101-1987-02611,1987-01-19,16.43,구여사컵밥 독산점
3170000-101-1987-04357,1987-11-26,32.4,우리셀프식당
3170000-101-1987-04358,1987-12-12,54.0,모두랑
3170000-101-1987-04999,1987-09-14,131.65,한우소가 살살
3170000-101-1987-05260,1987-01-14,23.76,명동뚝배기
3170000-101-1987-05438,1987-07-01,98.64,전주식당
3170000-101-1987-06170,1987-12-30,101.6,청송갈비
3170000-101-1988-01664,1988-07-13,28.56,팔팔분식
3170000-101-1988-01909,1988-05-13,39.22,세벽수산
3170000-101-1988-02413,1988-01-13,22.44,대성숯불바베큐
3170000-101-1988-02860,1988-08-17,75.61,에이팀
3170000-101-1988-02907,1988-08-13,22.4,엄마손식당
3170000-101-1988-03546,1988-06-02,59.2,만두라
3170000-101-1988-03558,1988-02-27,48.5,총각네 부추곱창
3170000-101-1988-04323,1988-10-05,66.4,귀빈식당
3170000-101-1988-04332,1988-12-07,107.21,전주명가
3170000-101-1988-04368,1988-07-20,220.37,입안행복한식셀프식당
3170000-101-1988-04397,1988-07-07,47.57,만리장성
3170000-101-1988-04470,1988-09-15,81.42,금천식당
3170000-101-1988-04833,1988-08-23,55.44,이선생 미국가주우육면
3170000-101-1988-04913,1988-11-21,15.51,김밥마을
3170000-101-1988-04975,1988-11-03,24.45,유진식당
3170000-101-1988-05188,1988-08-17,99.72,미리옥 가산 직영점
3170000-101-1988-05223,1988-03-28,25.2,공주식당
3170000-101-1988-05253,1988-03-17,16.2,전주식당
3170000-101-1989-01611,1989-03-31,27.38,그랑데뷰
3170000-101-1989-01939,1989-11-07,25.95,꽃향기
3170000-101-1989-02394,1989-12-09,31.79,진미식당
3170000-101-1989-02555,1989-09-12,31.5,처갓집양념치킨 독산점
3170000-101-1989-02909,1989-09-05,32.64,엄마손식당
3170000-101-1989-04295,1989-07-11,47.6,청록식당
3170000-101-1989-04337,1989-01-18,26.18,서울식당
3170000-101-1989-04427,1989-07-03,111.23,영진식당
3170000-101-1989-04434,1989-02-17,26.73,수원식당
3170000-101-1989-04472,1989-03-14,29.92,미성설곰탕
3170000-101-1989-04474,1989-07-27,23.7,페리카나
3170000-101-1989-04891,1989-10-04,34.0,청정식당
3170000-101-1989-04956,1989-01-31,99.0,유가네 양꼬치
3170000-101-1989-04984,1989-05-15,53.0,노원식당
3170000-101-1989-05024,1989-03-03,24.79,모두 순대국 감자탕(독산점)
3170000-101-1989-05196,1989-01-09,197.28,풍년갈비
3170000-101-1989-05225,1989-12-14,102.48,더덕솥뚜껑삼겹살 가산점
3170000-101-1990-01739,1990-11-27,43.0,지코바 시흥2호점
3170000-101-1990-01743,1990-05-29,28.36,원조식당
3170000-101-1990-01863,1990-03-07,19.84,페리카나
3170000-101-1990-02520,1990-12-14,31.8,멕시칸양념통닭
3170000-101-1990-02524,1990-09-04,18.36,이화룡 불짬뽕
3170000-101-1990-02569,1990-11-28,45.15,광계토
3170000-101-1990-02659,1990-06-20,31.05,모해
3170000-101-1990-02840,1990-09-11,162.45,어탐
3170000-101-1990-03209,1990-02-16,22.06,페리카나치킨
3170000-101-1990-03580,1990-11-26,45.76,광명식당
3170000-101-1990-03876,1990-12-28,41.95,홍보석
3170000-101-1990-04324,1990-06-15,28.57,코리엔탈깻잎두마리치킨&장수통닭
3170000-101-1990-04461,1990-04-14,136.82,부뚜막
3170000-101-1990-04477,1990-12-10,26.52,빡주
3170000-101-1990-05025,1990-03-14,24.5,미요리포차
3170000-101-1990-05169,1990-05-17,27.66,남도집
3170000-101-1990-05194,1990-04-17,43.92,연식당순대국
3170000-101-1990-05979,1990-05-25,132.23,다주리 회 수산
3170000-101-1991-01300,1991-10-16,14.62,함경도식당
3170000-101-1991-01546,1991-03-29,31.28,만복식당
3170000-101-1991-01586,1991-07-12,31.0,곰비 임비
3170000-101-1991-01690,1991-03-22,22.13,밥도먹고 술도먹고
3170000-101-1991-01702,1991-05-16,39.52,명성푸드
3170000-101-1991-01764,1991-05-02,38.32,장수옻닭옻오리
3170000-101-1991-01786,1991-11-20,42.55,토크쇼
3170000-101-1991-01801,1991-03-02,29.25,오고 또 오고
3170000-101-1991-01835,1991-03-29,40.66,그린식당
3170000-101-1991-02717,1991-09-16,16.28,페리카나
3170000-101-1991-02841,1991-01-07,49.04,고기굽는마을
3170000-101-1991-02843,1991-06-17,34.8,멕켄치킨
3170000-101-1991-03090,1991-09-13,45.92,유나호프
