음식점ID,인허가일자,소재지면적,음식점명
3160000-101-1971-00353,1971-07-23,52.85,논산집
3160000-101-1972-02300,1982-03-03,109.13,일번옥
3160000-101-1973-04588,1973-12-31,38.35,명동분식
3160000-101-1974-00925,1974-10-31,37.68,혜성관
3160000-101-1976-02023,1976-08-23,13.2,수원식당
3160000-101-1977-02441,1977-05-23,35.58,화승원
3160000-101-1979-02026,1979-12-29,35.5,평양면옥
3160000-101-1979-02028,1979-06-12,101.9,황제꽃소
3160000-101-1979-04864,1979-05-02,14.76,하니
3160000-101-1979-05057,1979-06-02,80.0,닷컴분식
3160000-101-1980-01352,1980-10-28,78.03,남촌호프
3160000-101-1980-08349,1980-10-31,,광명해장국
3160000-101-1981-00350,1981-05-04,19.06,삼호식당
3160000-101-1981-00351,1981-05-28,37.01,함흥냉면
3160000-101-1981-00352,1981-07-02,17.85,고바우집
3160000-101-1981-00362,1981-12-24,34.81,광주식당
3160000-101-1981-02299,1981-05-02,25.41,중국관
3160000-101-1981-02824,1981-10-20,64.02,리치
3160000-101-1981-08569,1981-01-29,59.0,호남식당
3160000-101-1982-00364,1982-03-02,75.95,수정식당
3160000-101-1982-00368,1982-06-28,20.09,비원
3160000-101-1982-00369,1982-08-13,68.87,풍천참숯불즉석장어구이
3160000-101-1982-00670,1982-11-12,71.97,육영토종정육전문점
3160000-101-1982-00723,1982-11-26,166.5,팔도 밥상
3160000-101-1982-01485,1982-11-15,37.58,피자애(개봉점)
3160000-101-1982-02032,1982-08-17,76.8,정가네사철탕
3160000-101-1982-05803,1982-09-14,18.6,초가집
3160000-101-1983-00381,1983-11-15,39.13,만복영양솥밥
3160000-101-1983-00385,1983-12-28,158.0,혼마참치
3160000-101-1983-00581,1983-12-22,49.52,숲풀림곱창
3160000-101-1983-00676,1983-05-11,94.88,84K
3160000-101-1983-00848,1983-11-17,11.1,돼지집
3160000-101-1983-01540,1983-09-24,40.73,개봉고기
3160000-101-1983-01542,1983-12-13,85.47,오븐마루
3160000-101-1983-01608,1983-10-20,46.2,거북이집
3160000-101-1983-02305,1983-01-29,54.2,우리한식
3160000-101-1983-03656,1983-05-03,26.98,한아름호프
3160000-101-1983-04641,1983-10-21,62.01,연길순희냉면(금삼각)
3160000-101-1983-04939,1983-09-29,30.71,명성생맥주
3160000-101-1984-00391,1984-04-23,28.5,장원돈갈비
3160000-101-1984-00395,1984-05-30,40.09,생고기집
3160000-101-1984-00400,1984-10-05,90.66,하우돈곱창
3160000-101-1984-00643,1984-10-13,59.8,홍창
3160000-101-1984-00960,1984-11-09,34.86,행촌
3160000-101-1984-01354,1984-02-04,57.6,대지식당
3160000-101-1984-02438,1984-12-12,34.7,북경
3160000-101-1984-02992,1984-12-12,141.95,고기에미친남자
3160000-101-1984-03658,1984-02-18,42.82,소연
3160000-101-1984-03665,1984-08-18,42.33,북경호프
3160000-101-1984-04941,1984-03-02,18.2,골뱅이창
3160000-101-1984-05570,1984-11-20,14.35,청산식당
3160000-101-1984-07962,1984-01-14,86.25,우정수육 구로디지털단지역본점
3160000-101-1984-08300,1984-08-04,66.2,서울회마차
3160000-101-1984-08475,1984-08-30,29.31,민속호프
3160000-101-1984-08498,1984-12-15,93.84,진지방순대국
3160000-101-1985-00405,1985-03-15,41.86,남원식당
3160000-101-1985-00406,1985-03-27,167.14,서울순대국
3160000-101-1985-00408,1985-05-20,34.3,화기.소고기화떡
3160000-101-1985-00411,1985-09-16,40.09,히노스시
3160000-101-1985-00412,1985-10-19,43.43,장군 산꼼장어
3160000-101-1985-00415,1985-12-02,66.3,생마차 구로디지털단지점
3160000-101-1985-00417,1985-12-27,162.54,등촌칼국수
3160000-101-1985-00599,1985-04-29,165.0,옛날황소곱창
3160000-101-1985-02311,1985-12-04,80.64,하이난
3160000-101-1985-04098,1985-04-02,7.9,"강원슈퍼,호프"
3160000-101-1985-04942,1985-03-06,126.81,상록회관 연탄구이 개봉역점
3160000-101-1985-04985,1985-09-11,33.2,고망고 동양미래대점
3160000-101-1985-05505,1985-08-30,56.24,원정바베큐
3160000-101-1986-00421,1986-09-15,32.52,전주식당
3160000-101-1986-00423,1986-10-20,33.3,주경야술
3160000-101-1986-00739,1986-12-19,22.32,쭈꾸미&삼겹살
3160000-101-1986-00890,1986-12-29,18.75,강원식당
3160000-101-1986-02358,1986-10-17,46.23,동순루
3160000-101-1986-02488,1986-09-12,209.84,신생루
3160000-101-1986-02939,1986-07-25,110.0,펀비어킹
3160000-101-1986-03670,1986-03-24,50.02,로젠호프
3160000-101-1986-03671,1986-05-12,51.76,만복푸드
3160000-101-1986-04638,1986-06-24,36.1,토크쇼구로5분점
3160000-101-1986-04642,1986-08-21,20.04,김기룽쟝족발비빔밥
3160000-101-1986-04643,1986-08-21,21.33,토크쇼
3160000-101-1986-04874,1986-08-11,14.0,아지트
3160000-101-1987-00435,1987-06-03,27.41,한우식당
3160000-101-1987-00436,1987-06-09,123.76,궁원복집
3160000-101-1987-00440,1987-11-03,34.65,쑥고개
3160000-101-1987-00677,1987-10-28,91.98,본가 구로디지털단지역점
3160000-101-1987-00750,1987-10-17,92.4,쏘시지요 구로디지털단지역점
