음식점ID,인허가일자,소재지면적,음식점명
3200000-101-1975-03457,1975-07-09,6.13,신풍식당
3200000-101-1976-05552,1976-12-18,31.26,영빈관
3200000-101-1977-05088,1977-08-03,18.91,명자호프포차
3200000-101-1977-07501,1977-08-23,23.4,낭풍
3200000-101-1979-00193,1979-01-08,56.29,완산정
3200000-101-1979-04181,1979-08-30,18.74,달맞이이모네
3200000-101-1979-05556,1979-05-15,100.0,향도장
3200000-101-1979-05595,1979-06-19,52.81,영신원
3200000-101-1979-07457,1979-04-27,264.21,옛날농장
3200000-101-1980-04892,1980-12-01,14.1,김가네
3200000-101-1980-05519,1980-08-18,38.13,영화루
3200000-101-1981-00297,1981-11-18,33.12,또바기식당
3200000-101-1982-00078,1982-02-19,20.72,함평천지
3200000-101-1982-00545,1982-04-06,60.5,엔조 파스타&피자
3200000-101-1982-06959,1982-11-22,21.98,진미락
3200000-101-1982-07028,1982-11-09,49.5,봉천동진순자김밥
3200000-101-1983-00400,1983-07-23,110.34,대호아구집
3200000-101-1983-07074,1983-11-02,46.73,원조순대국
3200000-101-1983-07273,1983-07-15,33.56,청호
3200000-101-1983-07449,1983-09-13,71.5,일점사
3200000-101-1983-07458,1983-06-18,75.6,장수촌풍천장어
3200000-101-1983-09709,1983-05-24,57.95,금산삼계탕
3200000-101-1983-09710,1983-02-18,150.0,만양순대국소머리국밥(본점)
3200000-101-1984-00180,1984-07-23,21.75,만복국수
3200000-101-1984-00570,1984-08-13,25.62,토당골
3200000-101-1984-03811,1984-06-18,95.7,홍콩반점0410 관악구청점
3200000-101-1984-04058,1984-08-29,79.34,마포소금구이
3200000-101-1984-04404,1984-05-22,44.04,신부산회집
3200000-101-1984-04944,1984-03-03,130.62,링고
3200000-101-1984-07147,1984-06-29,41.31,행운동조개
3200000-101-1984-09946,1984-10-30,34.87,본죽(신대방역점)
3200000-101-1985-00167,1985-04-19,48.58,낙성식당
3200000-101-1985-00500,1985-03-15,91.88,신림정
3200000-101-1985-00765,1985-01-31,33.77,하우림
3200000-101-1985-00866,1985-10-18,124.4,신풍고시식당
3200000-101-1985-03396,1985-10-29,109.95,목신의오후
3200000-101-1985-04174,1985-07-03,58.29,갈매기조나단
3200000-101-1985-05139,1985-08-29,130.3,우후죽순 신림역점
3200000-101-1985-07005,1985-07-05,40.62,삼우바베큐
3200000-101-1985-07235,1985-11-27,90.0,부림식당
3200000-101-1985-07382,1985-12-04,42.02,라밥(LABAB)봉천
3200000-101-1986-00085,1986-06-19,42.9,만다린
3200000-101-1986-00230,1986-08-22,79.0,술렁술렁
3200000-101-1986-00318,1986-11-27,70.7,백상갈비
3200000-101-1986-00456,1986-01-30,74.56,목포부부아구찜
3200000-101-1986-00785,1986-06-14,93.0,사천마라탕
3200000-101-1986-03274,1986-11-08,95.32,비어부르스(사당역점)
3200000-101-1986-03559,1986-06-21,82.5,볏짚구이 이야기
3200000-101-1986-05051,1986-08-29,54.7,비비전기통닭
3200000-101-1986-06910,1986-08-23,181.5,와다닥춘천숯불닭갈비
3200000-101-1986-07251,1986-02-28,88.24,나주곰탕
3200000-101-1986-07257,1986-04-22,144.72,파파존스서울대점
3200000-101-1986-07492,1986-09-13,101.76,삼합당
3200000-101-1986-09953,1986-05-29,42.97,청춘포차
3200000-101-1987-00328,1987-05-13,21.0,화정족발
3200000-101-1987-00609,1987-12-03,38.43,종로빈대떡
3200000-101-1987-03405,1987-10-26,70.94,롯데리아 봉천점
3200000-101-1987-03484,1987-06-16,32.79,참나무한방통닭
3200000-101-1987-03603,1987-04-15,46.31,버드나무
3200000-101-1987-05198,1987-07-13,67.75,러블리바
3200000-101-1987-07051,1987-01-09,24.99,시카고부대찌개 관악직영점
3200000-101-1987-07240,1987-11-20,71.92,풍성구이
3200000-101-1987-07466,1987-09-16,152.1,할매보쌈
3200000-101-1987-07497,1987-06-22,124.35,탐나종합어시장 신림점
3200000-101-1988-00084,1988-11-07,64.21,복땡이
3200000-101-1988-00204,1988-02-19,95.9,속초오징어어시장
3200000-101-1988-00309,1988-07-27,21.0,요리요리
3200000-101-1988-00319,1988-03-30,66.0,까꿍돼지 사당삼겹살
3200000-101-1988-03000,1988-07-05,66.0,황군집
3200000-101-1988-03254,1988-01-29,48.04,국회루
3200000-101-1988-03341,1988-12-07,23.8,스탑싸인
3200000-101-1988-03355,1988-09-08,20.25,고향주물럭
3200000-101-1988-05007,1988-11-14,127.91,엑스클럽
3200000-101-1988-07286,1988-02-16,82.8,당곡기사식당
3200000-101-1988-09389,1988-09-07,31.4,남부 생생면옥
3200000-101-1989-00033,1989-02-27,65.57,하루방뒷고기
3200000-101-1989-00206,1989-05-15,128.92,숙성원 족발. 보쌈
3200000-101-1989-00420,1989-02-02,55.0,고기굽는사람들 남현점
3200000-101-1989-00649,1989-07-12,128.29,신의주 찹쌀순대 본사직영 관악점
3200000-101-1989-03294,1989-12-26,22.32,로데오
3200000-101-1989-03411,1989-11-24,32.01,뢰벤호프
3200000-101-1989-03501,1989-12-22,52.39,신의한국수
3200000-101-1989-03505,1989-10-12,56.0,계성치킨
3200000-101-1989-04078,1989-06-05,21.06,뜸들이다 서울대입구역점
3200000-101-1989-04200,1989-09-05,50.02,디오니스
3200000-101-1989-04845,1989-06-30,126.66,KMGM 신림(케이엠지엠 신림)
3200000-101-1989-05124,1989-10-23,138.95,그곳에가면
3200000-101-1989-05172,1989-02-22,114.89,품앗이
3200000-101-1989-06952,1989-02-18,54.0,봉평메밀막국수
3200000-101-1989-06988,1989-02-23,94.8,왕돈까스왕냉면 서울대역점
3200000-101-1989-07353,1989-10-05,88.75,만족오향족발(사당역점)
3200000-101-1989-07371,1989-11-13,47.1,목우촌 부추삼겹살
3200000-101-1989-07475,1989-07-24,131.6,돼봉삼겹살
3200000-101-1989-07488,1989-09-06,406.8,놀부부대찌개앤놀부족발보쌈 난곡점
3200000-101-1990-00058,1990-07-26,92.99,명동찌개 마을
3200000-101-1990-00081,1990-12-13,20.05,옛골생고기
3200000-101-1990-00213,1990-02-27,130.64,uncle-B
3200000-101-1990-00215,1990-04-23,65.0,전주예인촌
3200000-101-1990-00292,1990-02-15,40.4,놀부네
3200000-101-1990-00576,1990-11-20,65.19,마장동 고기집
