음식점ID,인허가일자,소재지면적,음식점명
3000000-101-1899-10737,1999-10-01,62.83,진촌
3000000-101-1965-00476,1965-11-10,,지화자 좋다
3000000-101-1965-03089,1965-02-08,184.32,콘크리트 팔레트
3000000-101-1967-00920,1967-05-02,,고흥집
3000000-101-1967-01548,1967-03-27,23.2,풍년집
3000000-101-1967-03256,1967-09-08,,남대문막내횟집
3000000-101-1967-04618,1967-10-10,128.6,둘둘치킨
3000000-101-1967-04691,1967-09-30,,원조할머니 낙지센타
3000000-101-1967-06518,1967-01-27,,동명삼계탕
3000000-101-1968-01561,1968-05-01,251.49,청기와타운 종로점
3000000-101-1968-02150,1968-12-26,33.7,도마
3000000-101-1968-03150,1968-03-11,,백부장집
3000000-101-1968-03258,1968-01-11,,함흥면옥
3000000-101-1968-04182,1968-02-08,63.18,역전할머니맥주 종로3가점
3000000-101-1968-06103,1968-04-16,,함흥곰보냉면
3000000-101-1969-00065,1969-07-19,166.4,서원
3000000-101-1969-00619,1969-10-02,,안국정
3000000-101-1969-01465,1969-06-05,60.13,제주도집
3000000-101-1969-02004,1969-04-08,40.5,아사리판
3000000-101-1969-02011,1969-09-30,,경원집
3000000-101-1969-05661,1969-10-14,74.98,육대장 광화문점
3000000-101-1969-05683,1969-09-22,145.53,주식회사 거북이 홍반점
3000000-101-1969-05912,1969-10-04,111.36,일번지
3000000-101-1970-00526,1970-03-20,62.4,경원집
3000000-101-1970-03133,1970-05-02,,금문
3000000-101-1970-08106,1970-08-01,183.83,대성집
3000000-101-1971-00611,1971-09-11,,종가집
3000000-101-1971-03107,1971-03-18,109.53,임현정 창신육회빈대떡
3000000-101-1971-03508,1971-05-27,,가고시마
3000000-101-1971-06490,1971-09-01,20.88,고대멸치국수
3000000-101-1972-00843,1972-06-07,,대복집
3000000-101-1972-01101,1972-07-31,357.06,강호
3000000-101-1972-01155,1972-04-01,107.5,마작골
3000000-101-1972-01240,1972-12-06,,중계식당
3000000-101-1972-02002,1972-11-20,,수정식당
3000000-101-1972-02003,1972-11-17,68.94,삼보
3000000-101-1972-02239,1972-11-23,,효제세무서구내식당
3000000-101-1972-03057,1972-03-03,,서호장
3000000-101-1972-03179,1972-01-10,199.57,가봉루
3000000-101-1972-10472,1972-09-12,,원조함흥냉면본관
3000000-101-1973-00679,1973-12-29,30.06,바레이 BARRAY
3000000-101-1973-00733,1973-04-17,98.94,사람과나무 찻집
3000000-101-1973-00780,1973-05-24,,종가 김치찌개
3000000-101-1973-00838,1973-12-10,,공릉닭한마리
3000000-101-1973-01218,1973-03-21,,부영
3000000-101-1973-01515,1973-06-27,17.61,시조명동진성닭칼국수
3000000-101-1973-01516,1973-05-24,,만리장성
3000000-101-1973-01932,1973-09-06,,맛나식당
3000000-101-1973-02201,1973-07-27,57.8,엘지포차
3000000-101-1973-05667,1973-06-08,,신성
3000000-101-1973-06461,1973-02-16,,대성식당
3000000-101-1973-08047,1973-06-26,40.77,명가양갈비
3000000-101-1974-00320,1974-12-12,54.52,인사동6842 고기밥상
3000000-101-1974-00694,1974-04-09,,선천집
3000000-101-1974-00834,1974-04-09,,제주 굴 보쌈
3000000-101-1974-01202,1974-04-19,,영풍
3000000-101-1974-01278,1974-04-13,,경상도집
3000000-101-1974-01281,1974-05-29,,서울옥
3000000-101-1974-01334,1974-04-10,28.3,라우드 플레이 리스트(LOUD Play list)
3000000-101-1974-02008,1974-10-22,,일봉
3000000-101-1974-02022,1974-04-10,,대원호프
3000000-101-1974-04522,1974-04-30,,장군숯불갈비
3000000-101-1974-04753,1974-04-10,187.04,종로수정식당
3000000-101-1974-05722,1974-03-14,167.05,백제고기나라
3000000-101-1974-06258,1974-03-30,,페리카나
3000000-101-1974-06548,1974-07-09,22.4,금룡
3000000-101-1974-06803,1974-04-30,,구미회집
3000000-101-1975-03237,1975-05-01,,천궁
3000000-101-1975-03246,1975-05-26,42.0,유도리
3000000-101-1975-03871,1975-03-29,,3 + 1
3000000-101-1975-03912,1975-11-07,,마산아구찜
3000000-101-1975-04579,1975-06-05,44.51,카린지&린가네 광화문점
3000000-101-1975-04661,1975-03-15,85.67,북촌무궁화
3000000-101-1975-05705,1975-10-25,,송전
3000000-101-1975-07006,1975-09-22,,원다포차
3000000-101-1976-00874,1976-10-21,,리틀제이콥스
3000000-101-1976-00982,1976-12-20,,서울식당
3000000-101-1976-01060,1976-10-21,,호남집
3000000-101-1976-01230,1976-12-12,33.8,전주집
3000000-101-1976-01340,1976-03-28,258.52,단막 종각직영점
3000000-101-1976-01410,1976-04-01,74.03,남해굴국밥
3000000-101-1976-01621,1976-01-30,,한마당
3000000-101-1976-02230,1976-05-07,39.6,목포집
3000000-101-1976-03742,1976-08-19,46.8,브릭(BRICK)
3000000-101-1976-04026,1976-12-20,,치킨뱅이
3000000-101-1976-04186,1976-02-24,132.23,히말라야
3000000-101-1976-04716,1976-08-23,117.82,남해 굴국밥
3000000-101-1976-06519,1976-03-30,,준 피자 앤 즉석 떡볶이
3000000-101-1977-00313,1977-05-21,128.26,이문 설농탕
3000000-101-1977-00708,1977-11-10,,라인
3000000-101-1977-00949,1977-01-19,15.74,주식회사 호랑이 도삭면 광화문
3000000-101-1977-00964,1977-05-09,36.5,연지동태국
3000000-101-1977-01159,1977-12-03,18.81,뚱이네
3000000-101-1977-02033,1977-02-16,,도시촌
3000000-101-1977-03138,1977-04-19,,금성루
3000000-101-1977-03568,1977-12-30,24.41,미동
3000000-101-1977-03761,1977-03-08,23.34,킨토토 혜화점
3000000-101-1977-03794,1977-09-16,,논밭골
3000000-101-1977-04220,1977-12-13,,열차집
3000000-101-1977-04465,1977-02-04,,엘빈
3000000-101-1977-04566,1977-11-15,40.25,육식주
3000000-101-1977-04606,1977-01-10,134.62,미락한식뷔페
3000000-101-1978-00680,1978-03-04,44.22,더테이블 청진탭룸
3000000-101-1978-00735,1978-08-11,99.17,둘레골
3000000-101-1978-00963,1978-12-26,23.35,늘봄식당
3000000-101-1978-01784,1978-12-02,,미락
3000000-101-1978-01969,1978-12-11,18.5,이천식당
3000000-101-1978-03079,1978-08-25,,닭한마리
3000000-101-1978-03663,1978-10-24,,낙지왕국
3000000-101-1978-05672,1978-12-06,26.5,해송
3000000-101-1979-00329,1979-02-07,,라커스
3000000-101-1979-00652,1979-02-16,105.88,본가 닭한마리
3000000-101-1979-00905,1979-09-28,,진아춘(광화문점)
3000000-101-1979-01329,1979-01-19,28.5,부촌육회
3000000-101-1979-01379,1979-01-22,,고향집
3000000-101-1979-01391,1979-07-25,,영춘옥
3000000-101-1979-01696,1979-12-27,,한양숯불갈비
3000000-101-1979-01924,1979-05-02,,부림
3000000-101-1979-03118,1979-09-26,,영화루
3000000-101-1979-03121,1979-07-04,,금성장
3000000-101-1979-03194,1979-01-18,,지흥원
3000000-101-1979-04668,1979-11-01,77.07,맥주창고
3000000-101-1979-07044,1979-05-31,42.32,와!감자탕 삼겹살
3000000-101-1979-08084,1979-09-19,145.0,오카구라
3000000-101-1980-00351,1980-04-15,27.0,THAO LINH 분식점
3000000-101-1980-00923,1980-11-03,27.0,시골돼지집
3000000-101-1980-00975,1980-05-19,,서해
3000000-101-1980-01600,1980-07-08,43.02,된장예술과 술
3000000-101-1980-01727,1980-06-07,,송학
3000000-101-1980-01739,1980-12-16,79.71,산마루
3000000-101-1980-03097,1980-08-09,47.1,민들레 전통찻집
3000000-101-1980-03108,1980-08-09,103.2,산들바람
3000000-101-1980-03142,1980-12-10,,자영식당
3000000-101-1980-04409,1980-04-16,90.99,마쵸마라
3000000-101-1980-06070,1980-04-02,39.5,창신호프
3000000-101-1980-06125,1980-10-23,575.79,두레
3000000-101-1980-06661,1980-08-19,,진미통닭
3000000-101-1981-00399,1981-11-21,,조금
3000000-101-1981-00412,1981-08-31,,황금식당
3000000-101-1981-00967,1981-11-16,44.77,야젠
3000000-101-1981-00971,1981-11-14,,낙원회관
3000000-101-1981-00984,1981-03-02,,동묘
3000000-101-1981-01269,1981-11-27,,솔밭숯불갈비
3000000-101-1981-01296,1981-11-19,,바닷바람강릉회집
3000000-101-1981-01375,1981-09-17,28.32,신토불이
3000000-101-1981-01383,1981-01-16,47.85,대복집
3000000-101-1981-01387,1981-10-31,47.6,종로고집
3000000-101-1981-01461,1981-02-28,,풍원
3000000-101-1981-01681,1981-08-10,,박리분식
3000000-101-1981-01791,1981-02-17,104.15,토속촌삼계탕
3000000-101-1981-01939,1981-09-02,13.26,덕순네 장어랑 메기랑
3000000-101-1981-01984,1981-09-02,,일월장
3000000-101-1981-03186,1981-10-30,,홍콩반점
3000000-101-1981-03737,1981-02-10,122.95,니르바나
3000000-101-1981-04065,1981-12-28,22.78,양평서울해장국
3000000-101-1981-04161,1981-10-14,,최성근의 작은음악회
3000000-101-1981-06176,1981-08-31,,독립문호프
3000000-101-1981-06298,1981-09-01,,충무칼국수
3000000-101-1981-06729,1981-09-07,59.39,몽롱
3000000-101-1982-00044,1982-01-19,84.41,종로강남한의원식품사업부더쌍화
3000000-101-1982-00642,1982-01-15,,또오래분식
3000000-101-1982-00649,1982-07-10,56.04,현대주물럭
3000000-101-1982-00892,1982-04-24,51.05,한사발포차 종각점
3000000-101-1982-00893,1982-01-19,28.12,몽롱 종각점
3000000-101-1982-01009,1982-12-23,115.53,미락웰빙한식
3000000-101-1982-01064,1982-12-08,38.77,명인뜰채 약선흑염소
3000000-101-1982-01376,1982-04-30,26.14,돈맛꿀
3000000-101-1982-01597,1982-05-06,254.99,호가양꼬치
3000000-101-1982-01688,1982-10-23,,한우방
3000000-101-1982-01709,1982-10-27,,남도아구찜
3000000-101-1982-01824,1982-10-20,51.39,영재식당
3000000-101-1982-01867,1982-11-17,93.4,하마비
3000000-101-1982-01906,1982-04-29,52.42,청림
3000000-101-1982-01910,1982-05-10,37.0,메가 엠지씨 커피 종로혜화경찰서점
3000000-101-1982-01946,1982-12-03,72.71,고가네숯불구이
3000000-101-1982-03181,1982-11-06,,누나홀닭
3000000-101-1982-03189,1982-11-19,199.8,낭만
3000000-101-1982-03197,1982-09-02,59.47,라르티스타 주식회사
3000000-101-1982-03780,1982-12-02,27.87,주식회사 을지맥옥 광화문점
3000000-101-1982-04223,1982-06-25,99.47,전주완산골
3000000-101-1982-04249,1982-03-25,,여름
3000000-101-1982-06008,1982-10-25,32.92,둘리
3000000-101-1982-06361,1982-09-21,,중앙치킨
3000000-101-1982-06623,1982-08-30,145.98,삼정한정식
3000000-101-1982-06671,1982-11-06,,신씨화로
3000000-101-1982-08035,1982-04-08,,자매식당
3000000-101-1982-08085,1982-08-10,,삼정
3000000-101-1983-00365,1983-12-26,,초정
3000000-101-1983-00546,1983-01-19,82.49,신의주 찹쌀순대
3000000-101-1983-00557,1983-01-07,,놂
3000000-101-1983-00641,1983-06-07,,양반댁
3000000-101-1983-00753,1983-05-25,,형제식당
3000000-101-1983-00755,1983-05-10,,고바우
3000000-101-1983-00758,1983-04-20,,정동
3000000-101-1983-00839,1983-12-28,16.09,종로우리곱창?닭갈비
3000000-101-1983-00856,1983-08-25,,모던김밥
3000000-101-1983-00873,1983-03-10,38.27,동묘맛집
3000000-101-1983-00879,1983-11-14,,세화정
3000000-101-1983-00907,1983-03-21,,안 국 정
3000000-101-1983-00936,1983-12-03,61.69,롤라곱창
3000000-101-1983-00974,1983-01-05,,황소집
3000000-101-1983-01144,1983-11-30,,상해반점
3000000-101-1983-01200,1983-11-23,66.36,모꼬지장
3000000-101-1983-01288,1983-03-12,20.8,육회자매집(본점)
3000000-101-1983-01305,1983-05-24,,전주옥돌정
3000000-101-1983-01319,1983-11-18,,육회한 연어 대학로점
3000000-101-1983-01678,1983-12-20,90.15,조마루(신설동점)
3000000-101-1983-02031,1983-09-20,,삼호골뱅이호프
3000000-101-1983-03115,1983-06-24,62.29,덕성각
3000000-101-1983-03182,1983-01-19,33.77,신라반점
3000000-101-1983-03187,1983-09-17,159.31,오봉집 종로5가점
3000000-101-1983-03234,1983-10-18,,광화문 더덕순대
3000000-101-1983-03599,1983-12-22,24.27,만만타코야끼
3000000-101-1983-03670,1983-01-10,,하이트 클래스
3000000-101-1983-03756,1983-09-13,61.98,소숯점
3000000-101-1983-03955,1983-09-30,,대왕 해물탕
3000000-101-1983-04017,1983-07-21,96.93,인사샤브정
3000000-101-1983-04151,1983-06-14,134.71,HAVEN(헤이븐)
3000000-101-1983-04260,1983-09-13,43.8,종로돈부리
3000000-101-1983-04699,1983-08-30,122.9,유도리
3000000-101-1983-05674,1983-03-26,92.03,깡순이신쭈
3000000-101-1983-06069,1983-05-09,28.8,창신 561
3000000-101-1983-06104,1983-04-20,,발리호프원
3000000-101-1983-06151,1983-08-26,13.88,호랭이 뼈다귀
3000000-101-1983-06180,1983-02-26,,장수식당
3000000-101-1983-06243,1983-04-29,132.01,육미
3000000-101-1983-06282,1983-12-23,,조가네 뼈해장국
3000000-101-1983-06304,1983-09-28,,광화문통닭집
3000000-101-1983-06615,1983-12-01,,왕방울분식
3000000-101-1983-06617,1983-04-25,35.9,계동치킨(낙원점)
3000000-101-1983-06625,1983-03-31,33.31,더 우리곱창
3000000-101-1983-07010,1983-10-31,125.06,계동치킨 종로5가점
3000000-101-1983-08011,1983-05-24,60.0,모토이시 종각점
3000000-101-1983-08012,1983-09-15,,고래불 수산
3000000-101-1983-08038,1983-12-13,,강촌숯불닭갈비
3000000-101-1983-10492,1983-11-26,207.9,경복궁
3000000-101-1984-00349,1984-10-20,15.4,황해집
3000000-101-1984-00361,1984-08-22,,향정
3000000-101-1984-00436,1984-08-22,47.79,동성로왕찹쌀꽈배기
3000000-101-1984-00500,1984-04-02,,향진
3000000-101-1984-00506,1984-10-19,,하나로회관
3000000-101-1984-00520,1984-12-20,107.21,봄날의 햇살
3000000-101-1984-00536,1984-03-15,27.23,오비로비
3000000-101-1984-00597,1984-09-04,44.0,페우관(Pheu Quan)
3000000-101-1984-00682,1984-05-31,34.8,실비집
3000000-101-1984-00724,1984-02-25,,섬마을
3000000-101-1984-00809,1984-05-25,50.7,부산집 막국수
3000000-101-1984-00820,1984-01-30,65.72,더피자필
3000000-101-1984-00898,1984-04-23,91.86,강촌쌈밥
3000000-101-1984-00937,1984-05-29,57.85,등촌샤브 칼국수 안국역점
3000000-101-1984-00955,1984-06-29,,평원식당
3000000-101-1984-00959,1984-07-12,360.43,진할매 원조닭집
3000000-101-1984-00997,1984-11-12,,동영숯불갈비
3000000-101-1984-01220,1984-05-11,16.49,동네별장
3000000-101-1984-01227,1984-11-27,,고바우식당
3000000-101-1984-01232,1984-05-30,93.1,옛마을
3000000-101-1984-01315,1984-04-23,,나주집
3000000-101-1984-01386,1984-01-04,47.67,은신처 종로점
3000000-101-1984-01667,1984-05-19,451.81,평창동 북악정
3000000-101-1984-01677,1984-11-01,,흥부네 사랑채
3000000-101-1984-01701,1984-03-16,,황금정
3000000-101-1984-01781,1984-11-07,22.59,만도리 신라스테이 광화문
3000000-101-1984-01789,1984-05-30,,태평정
3000000-101-1984-01815,1984-05-09,,진원조닭집
3000000-101-1984-01853,1984-10-12,,Papas(파파스)
3000000-101-1984-01913,1984-05-16,20.53,나무
3000000-101-1984-01950,1984-11-10,,종로뚝배기
3000000-101-1984-01979,1984-05-30,56.2,주식회사 뼈탄집
3000000-101-1984-02000,1984-07-21,95.4,경복궁 남도식탁
3000000-101-1984-02001,1984-11-26,33.0,꼬꼬방
3000000-101-1984-02198,1984-05-24,,천석식당
3000000-101-1984-03139,1984-10-19,,중국관
3000000-101-1984-03198,1984-10-23,75.33,쿠캔비어2
3000000-101-1984-03219,1984-03-10,56.3,레이어드 안국 (LAYERED)
3000000-101-1984-03354,1984-04-09,,동경
3000000-101-1984-03457,1984-11-26,,동서갈비
3000000-101-1984-03809,1984-08-17,,태양의길목
3000000-101-1984-03956,1984-02-01,,철길왕갈비살
3000000-101-1984-04001,1984-08-18,,에스라인
3000000-101-1984-04126,1984-05-07,,원조쌈밥집
3000000-101-1984-04160,1984-05-09,,원주
3000000-101-1984-04227,1984-08-01,130.88,신호
3000000-101-1984-04285,1984-04-09,36.21,왕벌집
3000000-101-1984-04423,1984-03-02,,쌍영총
3000000-101-1984-04443,1984-06-23,53.19,송백
3000000-101-1984-04446,1984-12-20,,또또와
3000000-101-1984-04499,1984-06-20,,등촌샤브칼국수
3000000-101-1984-04502,1984-12-17,90.06,영구비어
3000000-101-1984-04509,1984-02-23,,하얀집
3000000-101-1984-04664,1984-05-09,84.26,제주바당
3000000-101-1984-04672,1984-10-23,,스콜리온
3000000-101-1984-04720,1984-12-20,,종각 상구비어
3000000-101-1984-04748,1984-06-18,,차사랑
3000000-101-1984-04920,1984-01-10,,아까시
3000000-101-1984-05623,1984-06-12,,참치하우스
3000000-101-1984-05905,1984-02-16,90.63,황해플라워 까페
3000000-101-1984-05922,1984-03-31,,명동칼국수
3000000-101-1984-06068,1984-05-25,,무지개
3000000-101-1984-06263,1984-07-19,47.15,더 진국 광화문역 지점
3000000-101-1984-06576,1984-03-30,62.77,일월육일 종각점
3000000-101-1984-06651,1984-05-30,36.2,풍황
3000000-101-1984-06668,1984-09-18,,참새집
3000000-101-1984-06686,1984-02-29,,강효
3000000-101-1984-06711,1984-02-22,,시민식당
3000000-101-1985-00291,1985-12-16,234.66,김가네대청마루
3000000-101-1985-00479,1985-04-10,52.14,정통삼계탕
3000000-101-1985-00552,1985-04-29,,더벤티 종로학원가점
3000000-101-1985-00590,1985-04-29,55.0,용두동 쭈꾸미 닭갈비
3000000-101-1985-00832,1985-07-26,,옛날집
3000000-101-1985-00853,1985-10-16,,아이엠호프Ⅰ
