음식점ID,인허가일자,소재지면적,음식점명
3010000-101-1965-10346,1965-10-10,38.95,사카
3010000-101-1966-04801,1966-08-06,77.0,교동 전선생
3010000-101-1966-07117,1966-10-22,39.12,필동반점
3010000-101-1967-07138,1967-10-10,473.5,안동장
3010000-101-1967-09484,1967-04-18,119.81,오장갈비
3010000-101-1967-10053,1967-10-19,52.11,팔도보쌈
3010000-101-1967-10520,1967-10-10,197.9,조선옥
3010000-101-1968-04958,1968-08-01,107.75,복센타
3010000-101-1968-07090,1968-07-05,108.15,중원장
3010000-101-1968-07251,1968-04-04,115.62,황구복집
3010000-101-1968-10925,1968-11-21,135.53,가네리 뚝배기
3010000-101-1968-10994,1968-07-06,350.14,남포면옥
3010000-101-1968-11031,1968-03-02,514.63,오장동흥남집
3010000-101-1969-09521,1969-08-18,49.89,반석가든
3010000-101-1969-09964,1969-01-07,100.5,원조한치
3010000-101-1969-09991,1969-11-19,52.78,성원식당
3010000-101-1969-10127,1969-06-24,80.41,대원집
3010000-101-1969-10271,1969-07-14,30.02,종로식당
3010000-101-1970-04049,1970-01-13,231.49,주식회사 명동교자
3010000-101-1970-04051,1970-11-30,53.49,유미분식
3010000-101-1970-07267,1970-10-14,98.66,슬링스톤
3010000-101-1970-10356,1970-01-31,27.99,영덕회식당
3010000-101-1970-10484,1970-01-31,113.05,대림음식점
3010000-101-1971-06619,1971-03-11,545.3,그랜드 키친
3010000-101-1971-07262,1971-04-21,139.04,덕화장
3010000-101-1971-09391,1971-01-19,335.47,진고개
3010000-101-1971-11063,1971-12-18,129.81,브라운치킨
3010000-101-1971-11500,1971-12-21,136.5,명동미성옥
3010000-101-1972-03965,1972-06-26,44.39,삼보호프
3010000-101-1972-04044,1972-09-28,39.76,치킨주막
3010000-101-1972-04477,1972-12-28,0.0,우정분식
3010000-101-1972-04789,1972-10-17,54.75,신촌서서갈비 다동점
3010000-101-1972-04862,1972-03-03,71.0,이가네 양꼬치
3010000-101-1972-04895,1972-09-26,41.81,호프노가리
3010000-101-1972-07155,1972-04-22,308.35,배재반점
3010000-101-1972-07218,1972-02-26,96.6,오구반점
3010000-101-1972-09623,1972-09-08,206.62,오발탄
3010000-101-1972-09917,1972-03-31,55.72,태산 1970 서울시청본점
3010000-101-1972-10225,1972-09-26,25.79,막내네회집
3010000-101-1972-10904,1972-01-16,77.03,명동찌게집
3010000-101-1972-10970,1972-12-12,26.45,개미집
3010000-101-1972-10991,1972-12-12,20.25,여름 막국수 & 겨울 백곰탕
3010000-101-1972-10996,1972-12-21,59.5,낙동강
3010000-101-1972-11000,1972-11-30,44.41,처가집
3010000-101-1973-04083,1973-03-29,0.0,한영지하분식
3010000-101-1973-06196,1973-06-01,68.92,화이트
