음식점ID,인허가일자,소재지면적,음식점명
3130000-101-1970-02282,1970-12-17,185.08,부영각
3130000-101-1971-00749,1971-11-04,30.0,태순집
3130000-101-1971-00754,1971-06-02,140.4,마포옥하우스
3130000-101-1971-08714,1971-11-23,90.61,도화곱창
3130000-101-1973-00744,1973-08-23,23.17,조박집투
3130000-101-1976-00632,1976-01-08,208.32,외백
3130000-101-1976-00926,1976-09-01,14.3,태종대
3130000-101-1976-02360,1976-12-06,33.28,주과려
3130000-101-1976-03765,1976-11-05,19.25,빽다방 마포경찰서점
3130000-101-1976-04317,1976-05-28,59.4,엘피와음악사랑
3130000-101-1977-00595,1977-09-23,44.2,한양설농탕
3130000-101-1977-01046,1977-04-04,67.83,벌떼식당
3130000-101-1977-01055,1977-10-13,110.1,사랑채
3130000-101-1978-00573,1978-05-29,65.86,마포원조삼계탕
3130000-101-1979-00347,1979-02-01,56.12,신촌식당
3130000-101-1980-00354,1980-04-26,73.09,마포나루김치찌개
3130000-101-1980-02279,1980-09-27,32.99,카나
3130000-101-1980-07848,1980-10-30,15.5,마미치킨
3130000-101-1981-00519,1981-06-24,66.84,오목집마포점
3130000-101-1981-00733,1981-09-07,52.56,남도 사계절 맛집
3130000-101-1981-02292,1981-07-13,58.66,컴포즈커피 마포공덕점(Composecoffee 마포공덕점)
3130000-101-1981-04321,1981-08-26,40.29,노고산갈비
3130000-101-1981-07557,1981-12-12,28.6,크레프트한스
3130000-101-1982-03377,1982-07-12,52.08,먹태에 꼬치다
3130000-101-1983-00520,1983-08-09,25.9,최연탄
3130000-101-1983-00928,1983-12-17,40.0,금화 갈매기
3130000-101-1983-01145,1983-02-05,31.98,마포칼국수
3130000-101-1983-01146,1983-11-09,49.02,용궁설렁탕
3130000-101-1983-01804,1983-08-23,165.0,청기와식당
3130000-101-1983-04236,1983-05-17,56.18,을밀대
3130000-101-1983-06912,1983-11-15,78.61,황태뚝배기해장국
3130000-101-1984-00589,1984-11-09,52.01,솥밥삼겹살
3130000-101-1984-00745,1984-06-16,165.65,석양집
