음식점ID,인허가일자,소재지면적,음식점명
3030000-101-1970-03734,1970-07-11,40.73,삼거리식당
3030000-101-1976-03179,1976-02-02,58.0,햇잎갈비 순심이집
3030000-101-1976-05498,1976-01-06,20.48,동신식당
3030000-101-1976-05969,1976-08-06,64.65,손건호의 한우일번지
3030000-101-1978-03682,1978-05-16,78.17,하늘반점
3030000-101-1978-04379,1978-07-10,33.36,구어보소 왕십리점
3030000-101-1978-05891,1978-03-27,135.6,남원추어탕
3030000-101-1979-02970,1979-03-06,25.6,권식족발
3030000-101-1979-03810,1979-11-28,39.5,석천해장국 아구찜
3030000-101-1979-05422,1979-08-13,69.19,복돼지 두루치기
3030000-101-1980-03700,1980-11-25,53.36,상하이
3030000-101-1980-04896,1980-03-25,1063.55,유래회관
3030000-101-1980-05395,1980-10-27,93.58,먹거리장터2
3030000-101-1980-05905,1980-12-26,26.4,김밥천국
3030000-101-1980-06037,1980-10-27,87.04,골목냉면
3030000-101-1981-02796,1981-03-13,16.64,영자네곱창
3030000-101-1981-03392,1981-03-30,129.2,설빙 한양대점
3030000-101-1981-03504,1981-12-11,82.31,마을회관
3030000-101-1981-03691,1981-03-27,89.95,신신원
3030000-101-1981-05162,1981-11-27,51.87,제일
3030000-101-1981-05430,1981-10-19,30.81,온누리식당
3030000-101-1981-05729,1981-03-28,243.74,대도식당
3030000-101-1982-02731,1982-03-30,175.0,행운한식
3030000-101-1982-03102,1982-03-31,28.93,치킨팩토리
3030000-101-1982-03377,1982-06-17,34.4,삼천만회집
3030000-101-1982-05557,1982-04-22,17.5,217
3030000-101-1982-05593,1982-10-20,77.49,신금호숯불갈비 본점
3030000-101-1982-05730,1982-12-17,94.66,특우정
3030000-101-1982-06008,1982-09-20,75.94,원조사철냉면
3030000-101-1982-06012,1982-07-31,196.61,땅코참숯구이
3030000-101-1983-02424,1988-06-03,37.68,킴스치킨
3030000-101-1983-02806,1983-06-11,40.42,행운
3030000-101-1983-03192,1983-07-11,48.49,찬란한아구 왕십리점
3030000-101-1983-03213,1983-05-23,28.27,소담
3030000-101-1983-03821,1983-10-22,76.12,성수장
3030000-101-1983-05147,1983-02-26,103.2,별바다
3030000-101-1983-05269,1983-02-28,384.03,주식회사 레노스
3030000-101-1983-06331,1983-07-19,55.86,제일식당
3030000-101-1984-03077,1984-02-28,28.48,꼬끼오
3030000-101-1984-03836,1984-04-21,58.83,중화각
3030000-101-1984-04086,1984-01-10,27.8,카카모루 성수점
3030000-101-1984-04859,1984-04-17,33.4,수원원조갈비
3030000-101-1984-04974,1984-12-20,66.0,은빛물결황금낙지
3030000-101-1984-05500,1984-04-21,28.54,연탄요릿집
3030000-101-1984-05622,1984-12-22,57.0,토끼와거북전
3030000-101-1984-05649,1984-01-06,34.8,오스테리아 쟌니(Osteria Gianni)
3030000-101-1984-05811,1984-01-04,29.12,미친노가리
3030000-101-1984-06024,1984-09-25,396.0,명문의집
3030000-101-1985-00013,1985-04-24,18.15,봉자막창
3030000-101-1985-02650,1985-08-28,38.36,곽가네왕갈비탕
3030000-101-1985-02738,1985-12-02,22.75,민물집
3030000-101-1985-02915,1985-04-13,97.98,리빠똥호프본점
3030000-101-1985-03776,1985-05-09,72.0,청해루
3030000-101-1985-04894,1985-11-11,35.42,대촌정
3030000-101-1985-05000,1985-04-03,26.6,생태한마리
3030000-101-1985-05268,1985-02-06,297.18,주식회사 레노스
3030000-101-1985-05444,1985-09-09,49.94,본토고기구이
3030000-101-1985-05532,1985-12-05,62.7,고향식당
3030000-101-1985-05749,1985-01-09,34.68,수상한막창 도선사거리점
3030000-101-1985-05759,1985-11-04,25.7,다도식당
3030000-101-1986-02508,1986-09-10,97.17,풍년정육점식당
3030000-101-1986-02702,1986-12-22,36.19,볼카노호프
3030000-101-1986-03208,1986-10-20,5.22,피자스쿨
3030000-101-1986-03436,1986-12-19,73.5,한강
3030000-101-1986-04834,1986-05-29,147.94,마장갈비
3030000-101-1986-05228,1986-01-20,68.58,354김밥국수
3030000-101-1986-05291,1986-05-23,26.78,금옥정
3030000-101-1986-05322,1986-09-10,82.73,"훼미리손칼국수,보쌈"
3030000-101-1986-05356,1986-05-29,83.12,감성호프
3030000-101-1986-05540,1986-08-05,58.0,오복집
3030000-101-1986-05626,1986-09-17,61.26,핌피 성수
3030000-101-1986-05860,1986-12-08,63.21,뚱이감자탕
3030000-101-1987-01608,1987-08-30,29.75,높은집종가산꼼장어
3030000-101-1987-01619,1987-04-20,20.96,소양강
3030000-101-1987-02210,1987-02-05,27.6,닭한마리
3030000-101-1987-02828,1987-02-27,32.9,우리네밥상
3030000-101-1987-02973,1987-08-13,28.0,매머드 익스프레스 성수역점
3030000-101-1987-03200,1987-07-29,127.16,동호일식
3030000-101-1987-04581,1987-05-19,65.45,행복한식당
3030000-101-1987-04933,1987-06-15,23.97,광주식당
3030000-101-1987-05065,1987-07-10,53.35,우촌숯불갈비
3030000-101-1987-05357,1987-05-14,56.26,진국설농탕
3030000-101-1987-05604,1987-01-19,43.2,웰컴차이나
3030000-101-1988-01405,1988-10-10,49.92,우야꼬
3030000-101-1988-02889,1988-02-15,56.35,둘둘치킨
3030000-101-1988-03396,1988-04-19,73.53,장모족발
3030000-101-1988-03459,1988-11-11,97.55,오츠쿠리
3030000-101-1988-03762,1988-11-24,110.88,동해루
3030000-101-1988-03799,1983-12-05,93.77,중국관
3030000-101-1988-05280,1988-01-27,56.57,황소곱창
3030000-101-1988-05791,1988-06-09,92.91,봉평옹심이메밀칼국수
3030000-101-1988-06036,1988-10-28,161.0,이가갈비
3030000-101-1989-02289,1989-06-16,56.1,재동골식당
3030000-101-1989-02786,1989-03-27,17.01,피자스쿨(신금호역점)
3030000-101-1989-03473,1989-05-10,25.74,풀코스
