음식점ID,인허가일자,소재지면적,음식점명
3120000-101-1967-06085,1967-01-16,66.25,진경
3120000-101-1969-00918,1969-08-27,90.57,산타비
3120000-101-1970-02346,1970-03-28,14.4,고흥집
3120000-101-1970-06097,1970-12-05,39.67,테리맘스키친
3120000-101-1970-06106,1970-05-25,62.5,만당회
3120000-101-1971-05561,1971-08-11,57.87,신촌수제비
3120000-101-1972-07010,1972-12-22,94.8,라이브
3120000-101-1972-07383,1972-03-03,52.96,남오토코 서대문점
3120000-101-1974-04385,1974-08-06,20.24,다미분식
3120000-101-1974-07045,1974-11-20,170.41,가미분식
3120000-101-1976-00097,1976-04-12,72.73,남매 숯불갈비
3120000-101-1976-04488,1976-11-19,17.92,영란곰탕
3120000-101-1976-05613,1976-08-27,18.09,뚱이네 숯불갈비
3120000-101-1976-06116,1976-11-11,29.75,대흥각
3120000-101-1976-06571,1976-02-25,62.2,무릉도원
3120000-101-1977-00201,1977-08-08,19.8,대구삼겹살
3120000-101-1977-00342,1977-08-03,67.0,강남불백
3120000-101-1977-01871,1977-06-09,251.19,이디야
3120000-101-1977-05400,1977-10-31,28.4,실비순창찹쌀순대
3120000-101-1977-05451,1977-09-22,29.44,장터순대국
3120000-101-1977-09812,1977-11-26,22.63,이나 닭강정
3120000-101-1978-00237,1978-06-22,25.2,시골장터
3120000-101-1978-01243,1978-10-17,63.66,볼엔체인
3120000-101-1978-09255,1978-12-20,357.17,삼호복집
3120000-101-1979-00340,1979-04-14,43.19,연희동태찜
3120000-101-1979-07687,1979-12-05,42.13,궁전식당
3120000-101-1980-00104,1980-10-31,22.05,왕봉24시해장국
3120000-101-1980-05630,1980-10-23,29.04,은성부대찌개
3120000-101-1980-08780,1980-06-10,37.47,홍제동잔치집
3120000-101-1980-09079,1980-11-14,81.81,대패상회북가좌점
3120000-101-1981-01009,1981-10-26,42.5,미네르바
3120000-101-1981-04165,1981-04-03,24.79,왕삼촌
3120000-101-1981-05385,1981-04-04,51.75,"신의주찹쌀순대,황소곱창,장충왕족발"
3120000-101-1981-05559,1981-09-24,55.18,건강나누리닭한마리전문점
3120000-101-1981-06118,1981-10-21,86.51,청와면옥
3120000-101-1981-06413,1981-06-17,96.82,봉추찜닭 이대점
3120000-101-1981-07258,1981-02-25,17.82,영이치킨
3120000-101-1981-09057,1981-11-18,33.26,일품양평해장국
3120000-101-1981-10346,1981-03-18,88.54,장군보쌈
3120000-101-1981-10347,1981-12-17,25.08,가재울 영천식당
3120000-101-1982-00343,1982-04-30,121.1,명륜진사갈비 신촌점
3120000-101-1982-00800,1982-06-14,72.96,담소 소사골순대?육개장 서대문역점
3120000-101-1982-01817,1982-11-19,16.33,까이 식당
3120000-101-1982-01911,1982-05-04,36.56,생국수본가
3120000-101-1982-03933,1982-12-28,18.9,정정아식당
3120000-101-1982-05390,1982-10-25,28.38,영광식당
3120000-101-1982-08683,1982-09-25,82.5,최고집바지락생칼국수
3120000-101-1982-09058,1982-02-25,32.55,평양옥
3120000-101-1982-10192,1982-10-07,92.5,쉬바펍
3120000-101-1983-00048,1983-02-16,66.0,우리기사식당
3120000-101-1983-00341,1983-05-23,89.95,육회 꽃피다
3120000-101-1983-00350,1983-03-31,40.11,일미 부대찌개
3120000-101-1983-01014,1983-10-14,70.34,申 부산 스시
3120000-101-1983-01540,1983-09-19,92.44,맘스터치 신촌점
3120000-101-1983-01562,1983-12-01,41.38,카니발 피자
3120000-101-1983-03936,1983-06-01,132.0,채쉐프
