음식점ID,인허가일자,소재지면적,음식점명
3210000-101-1973-03579,1973-09-28,366.72,코스모스가든
3210000-101-1979-04719,1984-06-27,153.18,오복꼬리곰탕
3210000-101-1980-04175,1980-07-10,90.47,비스트로 차이 플러스
3210000-101-1980-04524,1980-11-11,27.5,신세계식당
3210000-101-1980-04609,1980-11-10,317.85,브란덴브르크
3210000-101-1980-11136,1980-02-19,99.0,정낙지
3210000-101-1981-04146,1981-01-07,26.0,이모네 왕십리곱창
3210000-101-1981-04233,1981-04-17,21.45,방배식당
3210000-101-1981-04475,1994-06-17,48.44,장성한식
3210000-101-1981-12379,1981-07-16,95.75,다래
3210000-101-1981-12642,1981-04-07,95.79,만리장
3210000-101-1982-03577,1982-06-17,96.32,남서울식당
3210000-101-1982-07648,1982-04-17,14.75,미소의집
3210000-101-1983-03718,1983-11-07,23.43,미락식당
3210000-101-1983-03720,1983-12-24,10.5,라멘토카이
3210000-101-1983-03889,1983-10-05,84.13,진미정
3210000-101-1983-04159,1983-05-17,89.0,쌈이랑 고기랑
3210000-101-1983-04693,1983-04-11,90.08,이배산 숯불구이
3210000-101-1983-08155,1987-11-16,23.1,외갓집식당
3210000-101-1983-11235,1983-04-16,51.87,오르페오(ORFEO)
3210000-101-1983-11493,1983-03-09,53.41,아라신
3210000-101-1983-11622,1983-07-14,62.64,고전
3210000-101-1983-12572,1983-03-09,66.0,가우리집
3210000-101-1983-12645,1983-05-02,52.8,비취
3210000-101-1983-12761,1983-08-30,66.22,매화
3210000-101-1984-03054,1984-11-16,31.0,뉴욕 스테이크 하우스
3210000-101-1984-03480,1984-09-24,130.93,통큰 솥뚜껑 닭볶음탕 방배역점
3210000-101-1984-03691,1984-05-30,88.0,오유니통닭
3210000-101-1984-03693,1984-10-15,102.14,차돌풍(방배점)
3210000-101-1984-03928,1984-03-09,199.92,참이맛 감자탕
3210000-101-1984-03931,1984-11-28,38.52,두레촌
3210000-101-1984-04338,1984-10-01,28.92,대박집
3210000-101-1984-04476,1994-06-17,34.71,골목집
3210000-101-1984-04644,1991-06-21,189.26,강남반점
3210000-101-1984-06015,1984-11-16,48.1,교육문화회관직원식당
3210000-101-1984-08011,1994-06-20,141.92,일미칼국수(일미가)
3210000-101-1984-08972,1984-05-14,53.49,운향
3210000-101-1984-11142,1984-03-26,90.03,오수사
3210000-101-1984-11456,1984-11-28,24.64,유성식당
3210000-101-1984-11484,1984-02-25,22.05,학
3210000-101-1984-11878,1994-04-14,92.76,하트타임
3210000-101-1984-12339,1993-10-22,25.87,명동분식
3210000-101-1984-12618,1984-04-03,92.52,미식일상
3210000-101-1984-12704,1984-08-23,108.18,서경
3210000-101-1984-12728,1984-07-18,144.98,취향
3210000-101-1985-03955,1985-05-10,62.09,가양양꼬치
3210000-101-1985-04252,1985-07-16,35.25,한밭식당
3210000-101-1985-04300,1985-10-11,39.6,헬로우마늘치킨
3210000-101-1985-04391,1985-05-16,18.72,명랑식당
3210000-101-1985-04639,1985-04-25,35.6,뚝배기
3210000-101-1985-04681,1985-05-16,173.12,본가장어
3210000-101-1985-05161,1994-04-20,839.07,서초버드나무집
3210000-101-1985-05274,1985-06-25,31.92,남부양꼬치 마라탕
3210000-101-1985-07859,1985-01-16,19.86,한사발포차 사당점
3210000-101-1985-08041,1985-09-16,92.0,아비꼬 카레 예술의전당점
3210000-101-1985-08225,1985-07-18,20.0,옥채
3210000-101-1985-11049,1985-09-23,59.4,다동분식
3210000-101-1985-12763,1985-01-01,60.83,돈가네
3210000-101-1986-03113,1986-04-28,52.8,치뽈라
3210000-101-1986-03336,1986-01-20,23.65,다모아
3210000-101-1986-03448,1986-10-04,192.05,포석정
3210000-101-1986-04162,1986-06-20,90.0,댓짱 돈까스
3210000-101-1986-04285,1986-07-16,53.55,이조보쌈왕족발
3210000-101-1986-04386,1986-05-26,36.0,맛집 곱창구이
3210000-101-1986-04683,1992-09-21,64.65,로꼬로꼬
3210000-101-1986-04848,1991-05-20,107.1,추억의 김밥
3210000-101-1986-07696,1986-10-10,26.64,미미치킨
3210000-101-1986-07952,1986-02-01,53.82,우마루 반포점
3210000-101-1986-07966,1986-05-16,42.3,멕켄치킨
3210000-101-1986-08484,1986-04-16,25.43,목련
3210000-101-1986-09074,1992-12-17,64.32,온정
3210000-101-1986-10037,1986-03-13,28.35,동호숯불바베큐
3210000-101-1986-11088,1986-10-16,176.97,랜돌프비어 강남점
3210000-101-1986-11107,1986-10-11,111.36,돈키
3210000-101-1986-12648,1986-04-16,120.48,임광루
3210000-101-1987-03927,1987-04-14,60.45,왕솔
3210000-101-1987-04092,1987-05-18,109.8,이심전심
3210000-101-1987-04274,1987-03-24,60.1,교대솥삼구
3210000-101-1987-05074,1987-11-12,239.8,삼호복집
3210000-101-1987-05437,1987-05-06,341.42,서동한우 강남점
3210000-101-1987-11272,1987-05-01,110.13,모아정
3210000-101-1987-11592,1991-03-30,86.0,생활맥주(잠원점)
3210000-101-1987-11605,1987-08-18,50.46,한성돈까스
3210000-101-1988-02623,1988-09-10,130.5,연탄갈비
3210000-101-1988-03225,1988-05-24,66.08,참새 방앗간
3210000-101-1988-03870,1988-09-05,63.4,신사동인동 교대점
3210000-101-1988-03902,1988-12-22,28.35,부여식당
3210000-101-1988-04073,1988-05-10,50.25,맛집부추곱창
3210000-101-1988-04102,1988-07-28,8.25,옛날전통죽
3210000-101-1988-04128,1993-12-07,40.0,강소식당
3210000-101-1988-04169,1988-12-03,84.24,호산나 식당
3210000-101-1988-04188,1988-05-04,84.0,고기농장
3210000-101-1988-04336,1988-06-03,85.0,서초정육식당
3210000-101-1988-04429,1988-06-08,45.59,신전 떡볶이
3210000-101-1988-07701,1988-11-28,42.9,백채 김치찌개 방배역점
3210000-101-1988-07803,1988-12-24,11.64,삼풍치킨
3210000-101-1988-07849,1991-03-19,27.6,페리카나
3210000-101-1988-08395,1994-02-03,201.27,국밥쟁이 강남역점
3210000-101-1988-09031,1988-08-02,142.16,조개밭
3210000-101-1988-09071,1988-06-04,27.0,진주품은조개
3210000-101-1988-09100,1988-04-09,72.0,포하이 서초
3210000-101-1988-09102,1988-09-10,148.0,명가 무안뻘낙지
3210000-101-1988-09103,1994-01-20,184.9,영양센타
3210000-101-1988-09110,1994-03-26,80.36,이수명가 부대찌개
3210000-101-1988-10817,1988-12-12,73.2,자연사랑 생태찌개
3210000-101-1988-10894,1988-11-26,477.02,강남역 파스타
3210000-101-1988-11557,1988-02-08,22.91,눈
3210000-101-1988-11774,1988-01-09,28.8,왕떡볶이
3210000-101-1988-12271,1988-11-16,18.8,더하기하나
3210000-101-1989-02679,1989-11-10,164.57,참다선칼국수
3210000-101-1989-03479,1989-05-08,53.94,사당전집
3210000-101-1989-03492,1989-02-10,57.2,우도
3210000-101-1989-03523,1989-03-07,255.7,호림수산명가
3210000-101-1989-03617,1989-11-29,107.12,몬안베띠
3210000-101-1989-03676,1989-02-03,24.48,방배김가네감자탕
3210000-101-1989-03844,1989-09-28,68.79,교대패
3210000-101-1989-03848,1989-12-09,132.0,靑進(칭진)
3210000-101-1989-03872,1989-07-10,145.66,부산복집
3210000-101-1989-03874,1989-07-10,83.64,린스시
3210000-101-1989-04044,1989-06-10,138.6,양모리 양대창
3210000-101-1989-04412,1989-04-11,123.27,군산 은모래 해물탕. 아구찜
3210000-101-1989-04437,1989-02-17,58.95,돈바바
3210000-101-1989-04512,1989-07-04,298.67,영동족발 양재3호점
3210000-101-1989-04592,1989-03-04,61.0,방배식당
3210000-101-1989-04619,1989-08-19,22.94,봉구비어
3210000-101-1989-04664,1989-12-15,27.88,청실홍실
3210000-101-1989-04816,1991-06-25,70.86,화일명가 고기한판
3210000-101-1989-04838,1994-05-30,64.14,전주식당
3210000-101-1989-04940,1994-05-12,129.6,교촌치킨 방배2호점
3210000-101-1989-05221,1994-04-04,237.4,참설농탕
3210000-101-1989-07520,1989-06-15,24.65,서울깍두기
3210000-101-1989-07744,1989-02-23,23.1,한솥도시락 국제전자센터 앞점
3210000-101-1989-08251,1989-01-30,83.47,0410국수교대점
3210000-101-1989-08921,1989-11-06,46.3,전마루
3210000-101-1989-09020,1989-12-22,42.82,미락
3210000-101-1989-09117,1989-11-26,41.89,하나스시
3210000-101-1989-10638,1989-12-22,130.13,맥크번
3210000-101-1989-10859,1989-12-04,87.3,레벤호프
3210000-101-1989-11032,1989-11-08,171.6,일점사
3210000-101-1989-12071,1989-11-24,37.74,마리안느
3210000-101-1989-12621,1989-12-09,296.69,리밍
3210000-101-1990-02531,1990-02-03,289.53,본우리집밥 강남빌딩점
3210000-101-1990-03130,1990-02-02,37.85,장터식당
3210000-101-1990-03186,1990-01-22,48.0,도야진가
3210000-101-1990-03248,1990-01-08,91.25,서초참치명가
3210000-101-1990-03408,1990-03-08,56.1,포차 블루스
3210000-101-1990-03472,1990-08-01,37.65,치킨빠쓰
3210000-101-1990-03507,1990-12-17,37.75,포항막회집
3210000-101-1990-03552,1990-10-27,38.73,양재 오.제.섞어
