음식점ID,인허가일자,소재지면적,음식점명
3230000-101-1976-10257,1976-08-23,86.3,샹하이
3230000-101-1976-12667,1976-10-25,13.78,영월식당
3230000-101-1979-10210,1979-04-17,56.32,국일관
3230000-101-1980-08081,1993-10-28,216.0,부산회집
3230000-101-1980-10135,1980-11-03,28.7,진성원
3230000-101-1980-12134,1980-11-04,32.39,그램그램 천호역점
3230000-101-1981-11744,1981-12-03,168.63,송파숯불갈비
3230000-101-1981-12567,1981-10-07,88.65,대성추탕
3230000-101-1982-05610,1982-11-20,17.02,제일맛있는집
3230000-101-1982-11925,1982-09-22,118.0,진미옥설농탕
3230000-101-1983-12435,1983-10-22,46.01,대성삼합
3230000-101-1983-12618,1983-08-15,36.0,옛고을식당
3230000-101-1983-13071,1983-06-03,28.22,부일갈매기집
3230000-101-1983-13120,1983-03-04,20.09,잠실 생삼겹살
3230000-101-1983-13121,1983-01-27,25.5,신흥 속초코다리
3230000-101-1983-13124,1983-09-05,65.51,하얼빈 양꼬치
3230000-101-1984-10136,1984-12-20,39.76,보성각
3230000-101-1984-12348,1984-12-01,164.8,도래집 잠실방이점
3230000-101-1984-12566,1984-08-27,51.87,오로라
3230000-101-1985-03751,1985-05-31,34.0,용산분식(서울7거8648)
3230000-101-1985-06467,1985-05-10,84.5,야키톤 탄탄 방이점
3230000-101-1985-06471,1985-09-25,63.76,가미분식
3230000-101-1985-07103,1994-01-18,32.76,유원
3230000-101-1985-07294,1993-11-08,54.28,오대양 참치
3230000-101-1985-07404,1985-05-10,19.48,비서실
3230000-101-1985-07503,1993-09-15,74.69,옥돌현옥
3230000-101-1985-07935,1985-06-11,128.85,유한회사 성전일식
3230000-101-1985-07955,1985-01-09,99.12,영동족발 방이점
3230000-101-1985-09157,1985-10-17,99.67,무교낙지
3230000-101-1985-10159,1985-03-27,44.88,백화원
3230000-101-1985-10244,1985-04-24,89.1,해원
3230000-101-1985-12253,1985-06-22,100.84,(유)박가네
3230000-101-1985-12270,1985-06-24,103.42,대성식당
3230000-101-1985-12323,1985-07-30,110.1,치킨뱅이
3230000-101-1985-13176,1985-01-15,59.79,부자치맥
3230000-101-1986-05657,1986-12-17,21.82,이디야
3230000-101-1986-06018,1986-09-10,81.78,숙성회136 송파점
3230000-101-1986-06264,1986-06-14,27.79,함스함스
3230000-101-1986-07779,1986-05-14,1334.06,더컨벤션 교통회관
3230000-101-1986-08020,1994-04-04,806.59,일식호림
3230000-101-1986-09932,1993-09-03,169.0,야래향
3230000-101-1986-10334,1993-11-20,31.83,홍콩
3230000-101-1986-12246,1986-09-27,38.56,가락휴게실
3230000-101-1986-12252,1986-09-30,13.23,수산식당
3230000-101-1986-12254,1986-09-30,38.56,(유)동화매점
3230000-101-1986-12277,1986-09-30,38.56,삼호식당
3230000-101-1986-12282,1986-09-30,18.36,수산2호식당
3230000-101-1986-12283,1986-09-29,38.56,한국식당
3230000-101-1986-12300,1986-09-29,18.36,일호식당
3230000-101-1986-12364,1986-09-19,37.16,명불허전 원조 골뱅이
3230000-101-1986-12481,1986-05-15,43.6,옛날통닭
3230000-101-1986-12634,1986-06-24,108.9,우돈가네맛구이
3230000-101-1986-12965,1986-05-30,50.0,고인돌
3230000-101-1986-13582,1994-02-24,93.72,야끼니꾸 소량 잠실새내점
3230000-101-1986-16326,1986-01-08,20.0,도도야
3230000-101-1987-07936,1987-06-01,174.72,유한회사 유정씨푸드
3230000-101-1987-08039,1994-01-27,114.62,깐부치킨
3230000-101-1987-10177,1987-07-02,99.01,유한회사 만포장
3230000-101-1987-12339,1987-06-26,51.75,칼 누들바 방이본점
3230000-101-1987-12436,1987-04-18,130.0,성산포
3230000-101-1987-12562,1987-10-16,629.62,본가설렁탕
3230000-101-1987-12674,1987-08-05,64.97,장원보쌈
3230000-101-1987-12733,1987-10-21,31.62,허심탄회
3230000-101-1987-12739,1987-05-11,161.0,큰손흑돼지
3230000-101-1987-12968,1987-08-24,53.27,남한강다슬기해장국
3230000-101-1987-13061,1987-08-01,12.5,천하일미 강정.치킨
3230000-101-1987-13126,1987-12-01,55.17,잠실본동점 굽네치킨
3230000-101-1987-13142,1987-10-12,59.22,전주설렁탕
3230000-101-1987-13441,1994-03-30,353.66,오금버드나무집
3230000-101-1987-13563,1993-03-03,46.99,가장맛있는족발 방이점
3230000-101-1987-13751,1993-12-13,77.7,석화식당
3230000-101-1987-13893,1993-10-28,55.25,한우한마리
3230000-101-1987-14236,1993-07-08,279.55,흥부골 숯불돼지 왕갈비
3230000-101-1987-17790,1987-05-26,139.13,석정
3230000-101-1988-05593,1988-08-18,79.65,옥된장 잠실새내점
3230000-101-1988-06028,1988-11-03,23.46,곱이랑 창이랑
3230000-101-1988-06204,1988-11-18,15.0,25시 호프 치킨
3230000-101-1988-06288,1988-12-09,19.0,처갓집양념치킨 송파점
3230000-101-1988-06584,1988-04-13,28.08,처갓집 양념치킨(신천점)
3230000-101-1988-06702,1988-12-19,16.5,페리카나치킨
3230000-101-1988-07035,1994-02-15,23.04,윤지
3230000-101-1988-07098,1994-01-15,28.0,오백냥분식
3230000-101-1988-07623,1993-08-19,155.0,신영 식당
3230000-101-1988-07777,1988-09-19,1822.07,라세느
3230000-101-1988-07957,1988-12-28,125.76,어부횟집
3230000-101-1988-09504,1988-09-01,539.75,더 라운지 앤 바
3230000-101-1988-10258,1988-11-19,36.83,만리향
3230000-101-1988-10261,1988-09-01,790.86,도림
3230000-101-1988-11966,1988-12-31,165.0,교촌치킨 잠실1호점
3230000-101-1988-12018,1988-05-31,42.57,풍년식당
3230000-101-1988-12115,1988-01-21,84.78,농부밥상 어부밥상
3230000-101-1988-12154,1988-09-20,66.0,윤이네촌국수
3230000-101-1988-12394,1988-04-09,68.08,깡우동 송파방이
3230000-101-1988-12398,1988-08-18,157.06,금별맥주
3230000-101-1988-12408,1988-11-05,118.58,오봉집
3230000-101-1988-12422,1988-06-24,99.0,냉삼식당 방이2호점
3230000-101-1988-12551,1988-09-02,137.28,군산복아구전문점
3230000-101-1988-12593,1988-07-30,65.65,꿀꿀진순대국 석촌점
3230000-101-1988-12788,1988-10-18,28.6,잔치집
3230000-101-1988-13043,1988-08-05,21.0,다미
3230000-101-1988-13170,1988-11-12,302.19,누엣골 주막
3230000-101-1988-13589,1994-02-12,76.2,향기네 식당
3230000-101-1988-16907,1988-10-07,67.64,태양곱창
3230000-101-1989-05908,1989-10-07,18.0,치킨타운
3230000-101-1989-06503,1989-05-04,41.32,해림스넥
3230000-101-1989-06532,1989-05-06,27.3,성전
3230000-101-1989-06533,1989-05-04,30.0,북경
3230000-101-1989-06677,1989-07-10,31.2,찬
3230000-101-1989-06840,1994-04-26,54.6,청기와
3230000-101-1989-07072,1994-01-19,60.9,돌마리
3230000-101-1989-08038,1994-01-22,218.07,미락 수산
3230000-101-1989-09012,1989-03-09,138.24,가락관광호텔레스토랑
3230000-101-1989-09853,1993-11-06,73.71,파랑새식당
3230000-101-1989-10246,1989-12-14,45.5,동보성
3230000-101-1989-12157,1989-05-26,53.55,청진동해장국 문정역점
3230000-101-1989-12247,1989-02-14,123.37,유명식당
3230000-101-1989-12249,1989-02-14,97.0,장원식당
3230000-101-1989-12257,1989-08-26,38.0,오금골
3230000-101-1989-12269,1989-02-14,375.26,유한회사 정동
3230000-101-1989-12544,1989-02-13,118.35,할아버지분식
3230000-101-1989-12547,1989-05-19,23.22,춘천닭갈비
3230000-101-1989-12843,1997-12-01,64.76,송파해물탕
3230000-101-1989-12879,1989-07-14,67.92,가락골마산아구찜
3230000-101-1989-12885,1989-02-17,84.19,공원원조집
3230000-101-1989-12941,1989-08-16,106.02,김태완스시 송파본점
3230000-101-1989-12977,1989-10-26,124.14,착한 명태
3230000-101-1989-12978,1989-11-27,28.0,명동칼국수
3230000-101-1989-13018,1989-08-24,58.42,닥터 플라토
3230000-101-1989-13047,1989-11-03,20.25,초시꽁보리밥
