음식점ID,인허가일자,소재지면적,음식점명
3140000-101-1977-03438,1977-08-20,71.04,염창식당
3140000-101-1980-02102,1980-04-17,20.19,신흥반점
3140000-101-1980-02129,1980-09-16,29.4,드림푸드
3140000-101-1980-02186,1980-05-26,9.92,홍콩반점
3140000-101-1981-02149,1981-06-19,78.62,착한스테이크
3140000-101-1982-03498,1982-04-22,28.08,하림맥시칸신정점
3140000-101-1983-00795,1983-05-18,37.75,안주공방 목동역점
3140000-101-1983-01001,1983-12-12,52.26,도채가비
3140000-101-1983-02123,1983-12-20,41.0,서울꽃삼 신월직영점
3140000-101-1984-00757,1984-06-15,26.6,맛집 여기어때
3140000-101-1984-00918,1984-01-24,60.0,착한닭한마리칼국수
3140000-101-1984-02182,1984-02-11,24.0,명성각
3140000-101-1985-00150,1985-09-05,170.33,명륜진사갈비 염창점
3140000-101-1985-00442,1985-09-21,69.12,조마루뼈다귀
3140000-101-1986-00293,1986-03-31,54.34,고기명가
3140000-101-1986-00871,1986-04-12,41.34,우장창창
3140000-101-1986-03045,1986-12-02,219.28,어촌마을
3140000-101-1986-03407,1986-02-26,40.72,신월손칼국수
3140000-101-1987-00214,1987-11-09,117.96,14일의 설레임
3140000-101-1987-00263,1987-06-30,65.74,최고갈비 등촌역본점
3140000-101-1987-00516,1987-04-14,30.25,신월
3140000-101-1987-00819,1987-09-29,156.48,곰달래감자탕
3140000-101-1987-00834,1987-06-10,71.28,다온메밀막국수
3140000-101-1987-02108,1987-07-19,66.55,민차이
3140000-101-1987-02861,1987-06-10,51.0,소문장
3140000-101-1987-03598,1987-12-31,60.43,종이연
3140000-101-1987-03744,1987-10-21,19.81,김밥친구
3140000-101-1988-02871,1988-06-09,85.86,충무횟집
3140000-101-1988-03396,1988-05-11,31.32,페리카나치킨
3140000-101-1988-03487,1988-08-26,32.04,삐사감김밥
3140000-101-1988-03918,1988-06-17,26.56,페리카나치킨
3140000-101-1988-04134,1988-08-12,24.88,신림순대볶음
3140000-101-1989-00426,1989-05-22,98.43,신월왕족발
3140000-101-1989-00575,1989-04-28,90.96,아방궁
3140000-101-1989-00579,1989-11-09,26.98,아무리생각해도난짜장
3140000-101-1989-00645,1989-11-16,35.28,대호한우곱창
3140000-101-1989-00832,1989-07-25,24.0,특돼지 목동점
3140000-101-1989-00975,1989-07-14,75.88,어촌계장
3140000-101-1989-01008,1989-08-28,76.5,시골식당 영양탕전문
3140000-101-1989-01076,1989-05-22,82.81,두원집
3140000-101-1989-02114,1989-07-10,99.2,영빈관
3140000-101-1989-02403,1989-08-03,21.61,아미고
3140000-101-1989-02432,1989-03-31,105.04,뮤직퓨전라운지(쥬꾸미 낙지 일번지)
3140000-101-1989-02458,1989-11-28,102.81,맥주창고 홀덤펍
3140000-101-1989-02527,1989-11-11,226.08,오페라하우스
3140000-101-1989-02552,1989-01-10,88.36,개성식당
3140000-101-1989-03569,1989-01-16,78.66,텃밭
3140000-101-1989-03911,1989-02-01,29.47,동키치킨
3140000-101-1989-04177,1989-12-16,22.24,마니칸치킨
3140000-101-1990-00830,1990-05-19,86.0,맘스터치 목동점
3140000-101-1990-01104,1990-06-11,162.76,풍성식당
3140000-101-1990-02060,1990-03-22,25.0,세명반점
3140000-101-1990-02203,1990-06-15,20.03,양자강
3140000-101-1990-03318,1990-11-17,25.0,일미치킨
3140000-101-1990-03454,1990-11-20,27.37,페리카나치킨
3140000-101-1990-03721,1990-01-17,22.14,이심전심
3140000-101-1990-03890,1990-05-15,32.24,호중식당
3140000-101-1990-03909,1990-06-02,26.74,페리카나목동시장체인점
3140000-101-1990-03915,1990-06-02,25.5,종로김밥
3140000-101-1990-04001,1990-06-04,18.2,로젠호프치킨
3140000-101-1990-04088,1990-04-11,86.49,육쌈냉면
3140000-101-1990-04150,1990-06-18,31.08,아이앤지
3140000-101-1991-00197,1991-09-25,74.39,한겨레식당
3140000-101-1991-00642,1991-12-20,28.35,종점포차
3140000-101-1991-00846,1991-12-17,39.0,다래간주
3140000-101-1991-00932,1991-10-30,99.8,남도미담생고기
3140000-101-1991-00948,1991-08-14,78.05,서정갈비
3140000-101-1991-01105,1991-04-30,33.5,신정할매포차
3140000-101-1991-02148,1991-04-23,107.52,맛고을찌게마을
3140000-101-1991-03495,1991-01-26,34.56,이서방치킨
3140000-101-1991-03608,1991-10-11,21.53,거부기불판곱창 (목동2점)
3140000-101-1991-04022,1991-07-11,27.2,아하 멕시칸치킨
3140000-101-1991-08052,1991-12-12,172.33,나영
3140000-101-1992-00189,1992-05-21,98.25,원조장충왕족발
3140000-101-1992-00278,1992-03-25,76.92,신정4동점굽네치킨
3140000-101-1992-00319,1992-07-02,89.61,대로식당
3140000-101-1992-00440,1992-06-30,205.51,홍농숯불갈비
3140000-101-1992-00452,1992-05-06,63.0,미미호프&커피
3140000-101-1992-00484,1992-06-30,49.5,왔다포차식당
3140000-101-1992-00491,1992-05-18,42.04,3.3돼지숯불갈비
3140000-101-1992-00553,1992-06-11,102.0,미소갈비
3140000-101-1992-00564,1992-04-04,23.76,마포소곱창
3140000-101-1992-00577,1992-11-05,48.74,베트남(VN)쌀국수
3140000-101-1992-00752,1992-10-08,34.47,닭한마리
3140000-101-1992-00946,1992-10-31,309.57,착한낙지목동점
3140000-101-1992-02070,1992-04-08,19.72,우미장
