음식점ID,인허가일자,소재지면적,음식점명
3180000-101-1936-09877,1936-04-29,17.14,금복주식당
3180000-101-1967-08069,1967-10-27,76.33,영신반점
3180000-101-1969-07983,1969-08-16,88.8,차이룡
3180000-101-1969-10773,1969-11-27,116.2,오리돌판구이
3180000-101-1970-06350,1970-10-02,138.0,예가원
3180000-101-1971-06334,1971-08-23,199.2,주식회사 영등포복집
3180000-101-1971-10853,1971-09-16,58.56,중앙참치식당
3180000-101-1972-05448,1972-03-03,44.03,보드람치킨
3180000-101-1972-06354,1972-05-29,75.93,잔치집
3180000-101-1972-08089,1972-11-14,125.62,신흥원
3180000-101-1972-10406,1972-08-23,99.8,함흥냉면
3180000-101-1973-07939,1973-09-19,132.72,동해반점
3180000-101-1974-10218,1974-04-04,115.0,덕원
3180000-101-1975-06400,1975-01-09,193.45,이강순실비집
3180000-101-1975-11178,1975-08-26,1294.77,국회구내식당-직원용
3180000-101-1976-07094,1976-06-30,138.29,형제정육식당
3180000-101-1976-07270,1976-12-04,77.1,여로집
3180000-101-1976-07839,1976-12-17,73.26,문아관
3180000-101-1976-07880,1976-07-16,43.5,동순각
3180000-101-1976-07893,1976-06-23,95.85,홍콩반점0410당산역점
3180000-101-1976-08096,1976-01-22,67.32,연경궁
3180000-101-1976-10214,1976-06-30,46.03,고향갈비
3180000-101-1976-10358,1976-10-30,47.08,마피아피자
3180000-101-1976-10362,1976-09-22,40.42,마산아구찜
3180000-101-1976-10642,1976-09-17,113.72,항정사이
3180000-101-1977-08053,1977-11-22,167.05,설연향
3180000-101-1977-08056,1977-12-29,31.07,천지
3180000-101-1977-08114,1977-03-19,137.0,왕산
3180000-101-1977-10033,1977-12-28,27.54,여의도쭈꾸미
3180000-101-1977-10934,1977-09-08,79.2,우리식당
3180000-101-1977-11580,1977-03-28,21.19,황가네생고기
3180000-101-1978-07151,1978-12-11,41.97,전주전집
3180000-101-1978-08110,1978-11-25,638.85,열빈
3180000-101-1978-10100,1978-08-09,26.52,화목
3180000-101-1978-10364,1978-08-24,24.64,영등포 난전
3180000-101-1978-11463,1978-09-04,26.91,천안식당
3180000-101-1979-02812,1979-08-06,69.03,베풀 장어
3180000-101-1979-05279,1979-02-07,31.45,세호
3180000-101-1979-07960,1979-08-01,234.46,차이홍
3180000-101-1979-08017,1979-08-18,851.09,신동양
3180000-101-1979-09834,1979-10-30,28.11,착한맛집
3180000-101-1979-10621,1979-12-31,26.01,터줏집
3180000-101-1979-10787,1979-07-27,68.88,레벤호프
3180000-101-1979-10949,1979-05-17,34.9,진미 불고기
3180000-101-1979-11059,1979-05-24,150.06,전주회관
3180000-101-1979-11532,1979-06-04,57.76,명동칼국수
3180000-101-1980-04977,1980-10-06,77.21,영광회관
3180000-101-1980-06299,1980-03-29,28.0,정식당
3180000-101-1980-06312,1980-03-12,70.67,서민준 밀밭
3180000-101-1980-07550,1980-10-29,35.59,지중해
3180000-101-1980-08107,1980-11-27,542.2,홍보석
3180000-101-1980-10860,1980-10-08,46.14,진미집
3180000-101-1980-11434,1980-11-03,94.68,진미철판구이
3180000-101-1980-11475,1980-08-18,27.36,너도나도식당 선유도본점
3180000-101-1980-11524,1980-08-18,36.74,경북식당
3180000-101-1981-04818,1981-08-10,87.35,윤성
3180000-101-1981-07861,1981-11-06,76.43,천하
3180000-101-1981-07911,1981-06-30,82.42,봉명성
3180000-101-1981-08105,1981-12-29,53.64,가원
3180000-101-1981-10871,1981-09-07,61.21,선비네
3180000-101-1981-10921,1981-06-11,85.75,주식회사 부여집
3180000-101-1981-13232,1981-04-02,72.6,영일분식
3180000-101-1982-04986,1982-02-08,54.28,동해막회
3180000-101-1982-06311,1982-01-18,100.8,영등포정육식당
3180000-101-1982-07099,1982-11-01,10.83,다희
3180000-101-1982-07200,1982-08-31,47.9,가장맛있는족발
3180000-101-1982-07242,1982-01-12,79.2,오후반
3180000-101-1982-07337,1982-12-30,55.89,카이져호프
3180000-101-1982-07654,1982-05-22,31.37,솔
3180000-101-1982-07912,1982-03-31,118.8,소문장
3180000-101-1982-07922,1982-04-29,52.89,안동장
