음식점ID,인허가일자,소재지면적,음식점명
3020000-101-1899-07177,1999-10-08,61.75,후렌드치킨
3020000-101-1965-01593,1965-10-10,92.0,태화관
3020000-101-1967-01543,1967-11-06,64.5,참이맛원효점
3020000-101-1967-01588,1967-10-11,81.0,덕순루
3020000-101-1970-01554,1970-04-28,77.41,한일각
3020000-101-1970-05755,1970-06-20,30.27,고깃집
3020000-101-1970-06608,1970-12-24,24.2,남해수산
3020000-101-1971-01587,1971-02-25,97.25,대청마루
3020000-101-1971-01602,1971-09-04,72.44,영빈각
3020000-101-1973-01044,1973-05-22,79.67,세상에서 가장 깨끗한 치킨집
3020000-101-1973-04707,1973-12-11,71.72,소소라면닭꼬치
3020000-101-1973-06362,1973-10-25,57.62,고바우
3020000-101-1974-01478,1974-10-08,73.31,치킨뱅이
3020000-101-1974-01585,1974-04-20,214.56,주식회사 따봉브라질(TABOMBRAZIL)
3020000-101-1974-06032,1974-06-29,21.7,언양생고기
3020000-101-1975-05053,1975-01-07,16.64,숯불나라
3020000-101-1975-06793,1975-11-15,115.81,25센치꼬치앤오뎅바(숙대점)
3020000-101-1976-01518,1976-02-16,111.42,소정관
3020000-101-1976-06425,1976-08-04,102.7,에이치케이푸드 용산세무서점
3020000-101-1976-06483,1976-09-22,52.7,談(담)
3020000-101-1976-06644,1976-12-14,24.01,일미스테이크
3020000-101-1977-03606,1977-06-16,71.11,남영동 삼거리포차
3020000-101-1977-04661,1977-03-04,20.36,소림분식
3020000-101-1977-06325,1977-07-16,14.28,왕노가리호프
3020000-101-1977-06326,1977-07-01,96.38,순천식당
3020000-101-1977-06352,1977-10-16,88.01,금락횟집
3020000-101-1977-06931,1977-12-29,15.0,은영이네
3020000-101-1977-06954,1977-10-20,137.97,평양집
3020000-101-1979-00024,1979-11-08,22.74,국대참치포차
3020000-101-1979-01139,1979-02-02,75.0,동대문엽기떡볶이숙대점
3020000-101-1979-01548,1979-08-27,881.48,그랜드 하얏트 서울 그랜드 클럽
3020000-101-1979-06198,1979-07-18,31.8,옛날감자전
3020000-101-1979-06531,1979-10-12,179.0,마당면옥
3020000-101-1979-06861,1979-01-26,17.11,모란식당
3020000-101-1979-07030,1979-06-07,81.65,주관
3020000-101-1980-01517,1980-02-06,33.0,이촌반점
3020000-101-1980-01578,1980-03-13,12.6,맛나식당
3020000-101-1980-04683,1980-06-30,25.56,한강치킨
3020000-101-1980-05202,1980-04-19,112.3,동해안
3020000-101-1980-05951,1980-07-02,66.35,감동골
3020000-101-1980-06028,1980-06-13,17.14,할머니네집
3020000-101-1980-06393,1980-01-23,42.46,"구구전복,삼계탕"
3020000-101-1980-06643,1980-09-16,29.77,이촌스테이크
3020000-101-1981-04750,1981-12-29,13.33,끼니
3020000-101-1981-04817,1981-09-30,22.79,꿀마미
3020000-101-1981-06088,1981-01-12,56.26,만미정
3020000-101-1981-06489,1981-09-30,135.17,대우정
3020000-101-1981-07153,1981-11-29,55.6,한양식당
3020000-101-1982-00928,1982-06-24,30.5,더필립
3020000-101-1982-01119,1982-07-12,37.02,빠체
3020000-101-1982-01269,1982-03-17,33.6,왕대박생고기집
3020000-101-1982-01515,1982-04-29,11.48,하오연
3020000-101-1982-04740,1982-11-24,72.73,열봉부엌(열정도점)
3020000-101-1982-04789,1982-10-21,26.17,선아네 남도국밥 수육보쌈 2호점
3020000-101-1982-05985,1982-11-26,57.76,신선 낙지
3020000-101-1982-06322,1982-03-03,396.77,더멘션
3020000-101-1983-01546,1983-06-14,34.8,국일반점
3020000-101-1983-01622,1983-11-16,85.75,교촌치킨(후암점)
3020000-101-1983-04614,1983-11-01,22.21,어항로
3020000-101-1983-04663,1983-12-06,39.52,오봉도시락숙대점
3020000-101-1983-04682,1983-08-10,33.96,숯불바베큐
3020000-101-1983-06084,1983-12-07,73.3,타코 스탠드
3020000-101-1983-06107,1983-11-07,24.15,화포식당 한남점
3020000-101-1983-06180,1983-11-15,105.56,원평갈비1
3020000-101-1983-06354,1983-08-26,79.43,매화
3020000-101-1983-06419,1983-11-23,26.78,무교동집
